[Faller\15\Closed\patient15closeEyes.txt]
500 samples
20 Markov chains

(2,2)(1,3)(1,3)(1,4)(1,4)(1,4)(1,5)(2,4)(2,4)(2,4)(2,4)(2,4)(2,4)(2,4)(3,5)(2,5)(2,4)(2,4)(2,3)(1,4)(1,5)(1,6)(1,6)(1,8)(2,9)(2,10)
(2,10)(2,10)(2,9)(2,7)(2,5)(2,3)(1,4)(1,5)(1,6)(1,5)(1,6)(1,6)(1,7)(1,7)(1,6)(2,5)(2,4)(2,4)(3,6)(3,8)(3,9)(3,9)(2,7)(1,5)(1,5)(1,6)
(1,6)(1,6)(2,5)(2,4)(3,4)(3,4)(3,4)(3,4)(2,3)(2,2)(1,2)(1,1)(2,2)(3,4)(3,6)(4,7)(6,9)(7,10)(5,10)(1,9)(1,6)(2,6)(3,7)(6,7)(8,5)(8,3)
(8,3)(8,2)(9,3)(6,4)(2,3)(2,1)(5,3)(10,2)(5,1)(1,1)(1,1)(2,1)(3,2)(3,2)(2,2)(2,3)(3,5)(9,6)(6,6)(3,6)(1,5)(1,5)(1,4)(2,3)(2,3)(3,3)
(3,3)(4,3)(5,4)(5,4)(4,4)(3,3)(2,2)(2,1)(1,1)(1,1)(2,2)(3,4)(4,4)(4,3)(3,3)(3,2)(2,2)(2,2)(2,2)(1,1)(1,1)(1,2)(1,2)(1,2)(2,1)(2,2)
(2,2)(2,2)(2,2)(3,2)(3,3)(3,3)(3,3)(3,3)(3,3)(3,3)(3,3)(3,3)(2,2)(2,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,4)(1,4)(1,5)(1,5)(1,5)(1,6)
(1,6)(1,6)(1,6)(1,5)(1,3)(1,1)(1,1)(1,2)(1,2)(1,1)(1,3)(1,4)(1,4)(1,2)(1,1)(1,2)(1,3)(1,3)(2,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)
(1,2)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,1)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(2,4)(2,5)(2,5)(1,5)(1,5)(1,5)(1,5)(1,4)(1,4)(1,4)(1,3)(1,3)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,2)(2,3)(2,3)(3,3)(3,3)(2,2)(2,2)(2,2)(2,2)(2,3)(2,4)(1,4)(1,3)(1,3)(1,3)(1,3)(1,3)(1,3)(1,2)(1,1)(1,2)(1,3)(2,3)(2,3)
(2,3)(3,4)(3,4)(3,4)(2,4)(2,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(2,2)(2,2)(2,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,3)(1,2)
(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,3)(1,4)(1,4)(1,4)(1,4)(1,4)(1,3)(1,3)(2,2)(2,2)(2,2)(2,2)(2,2)(2,2)(2,3)(2,4)
(2,4)(2,5)(2,4)(2,4)(1,3)(1,3)(1,2)(1,1)(1,2)(1,4)(1,6)(1,7)(1,7)(1,6)(1,7)(1,7)(1,7)(1,6)(1,5)(1,3)(1,3)(1,3)(1,2)(2,3)(2,4)(2,5)
(2,5)(2,4)(1,4)(1,4)(1,4)(1,4)(1,3)(1,3)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,4)(1,4)(1,4)(1,4)(1,4)(2,4)(2,3)(1,2)
(1,2)(1,1)(1,1)(1,2)(1,2)(1,3)(1,3)(1,4)(1,4)(1,4)(1,4)(1,4)(1,2)(1,1)(1,1)(1,2)(1,3)(1,4)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,2)(1,2)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,2)(1,3)(1,4)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,2)(2,2)(2,3)(2,3)(3,4)(2,3)(2,2)(1,1)(1,1)(1,1)(1,1)(2,1)(2,2)(2,3)(3,3)(3,3)(2,2)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(2,2)(2,2)(2,3)(3,3)(2,3)(2,3)(2,2)(2,2)(2,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(2,3)(2,3)(2,3)(2,2)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(1,3)(1,2)
__________________________________________________________________________________________
