Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	-2.50096378934399	0.40468569565365	718.706005103317	11.1541344741211	35.5346973861805	0.737988294173934	-0.796792149051869	0.000607370653165962	0.000135704024153027
0.02	-2.54839672584741	0.490070080199396	719.169819934579	11.1582138963352	35.6305410185922	0.682848647411423	-0.746646156217804	0.000606330806902311	0.000237894120840076
0.03	-2.58974342907566	0.575181408517015	719.515377640427	11.1514954231072	35.7260641221502	0.632527472191773	-0.701196131282074	0.00059279984602767	0.000347894940858906
0.04	-2.61840980929738	0.658971299069153	719.653026581163	11.1269547974496	35.8198408192272	0.591306994467151	-0.664563144593771	0.000558929308413059	0.000469988063755755
0.05	-2.63077945386442	0.740021246953057	719.541647702208	11.0824506251634	35.9106624005882	0.562295157739487	-0.63973007131086	0.000502621170623052	0.000605380872678862
0.06	-2.62748558012048	0.816486812272772	719.196259830803	11.0209891566985	35.9979417880702	0.546938635812388	-0.628070621983704	0.000427731411641763	0.000752233702941585
0.07	-2.61386317743627	0.886214370155884	718.680949790785	10.9493899005764	36.0820266601409	0.544760452784327	-0.629095661525744	0.000342364513248428	0.000906578580459005
0.08	-2.59935968027015	0.947121720294919	718.089643490311	10.8758735864839	36.1642742943876	0.553437755133559	-0.640535191910512	0.000255930905708079	0.00106375493541366
0.09	-2.59589025411235	0.997833178362869	717.520682244352	10.8074177385695	36.2468114478656	0.569259616365081	-0.658797489765342	0.000176015073139912	0.00121984491789051
0.1	-2.61539939431304	1.03840133793009	717.052724627773	10.7477371809673	36.3320215364899	0.5878904267481	-0.679728555635597	0.000106084946363771	0.00137264498262502
0.11	-2.66714668863354	1.07081384687525	716.72868520833	10.6964780318185	36.4219118188904	0.605258691696175	-0.699485493418512	4.47168859283309e-05	0.00152191632997073
0.12	-2.75537650851143	1.09896696036919	716.551562124963	10.6497799214665	36.5175663302457	0.61833778443799	-0.715284181765018	-1.35308713740123e-05	0.00166892680299763
0.13	-2.87799488283456	1.12793499784766	716.492099998562	10.6019150408316	36.618864158333	0.625608533616172	-0.725810642310756	-7.59997158105152e-05	0.00181553220018105
0.14	-3.02665211236837	1.16264026230293	716.504616008119	10.5473954827013	36.7245477269866	0.627089597107681	-0.731191411808765	-0.000149334367592568	0.00196316746133335
0.15	-3.18826796374348	1.20631847854781	716.545151598236	10.4828420455558	36.8325981808269	0.623959292496659	-0.732565168736582	-0.000237267516853157	0.00211209557258341
0.16	-3.34763889771908	1.259339518921	716.585988267487	10.4080428393399	36.9407629777629	0.617923676926799	-0.731431974041042	-0.000339454951423956	0.00226111846223087
0.17	-3.49045753289378	1.31888410776245	716.622336227566	10.3259367283035	37.0470278896042	0.610561907220293	-0.729026116888696	-0.000451642890889059	0.00240775867332638
0.18	-3.60595915505388	1.37969386403652	716.669917019624	10.2416198984122	37.149854081073	0.602871795220436	-0.725935411431758	-0.000567005797846187	0.00254875602583565
0.19	-3.68853509572465	1.43570906247113	716.755179298376	10.1607683097054	37.248101157436	0.595148522596356	-0.72208200631157	-0.000678145925001039	0.00268064932970968
0.2	-3.73798145809562	1.48205077122312	716.902057613295	10.0880048691144	37.3406889734365	0.587193063354184	-0.717030302537683	-0.000779100204245875	0.00280024175770655
0.21	-3.75847134984255	1.51664231972706	717.119922693745	10.0256936910302	37.4261600226153	0.578718652067637	-0.710457080212507	-0.00086677802559354	0.00290484618955777
0.22	-3.75670171141921	1.54086951212822	717.396599253742	9.97345680827633	37.50234551934	0.569754656156399	-0.702560015332882	-0.000941495978788898	0.00299231770332947
0.23	-3.73984822704204	1.55901198537453	717.698439225561	9.92846319121298	37.5662971226867	0.560862875478139	-0.694215390594062	-0.00100657768398593	0.00306095620704561
0.24	-3.71391486879563	1.57661457590372	717.977133549921	9.88632114191929	37.6145439485724	0.553071066547589	-0.686806598018834	-0.00106724467821662	0.00310938299415919
0.25	-3.68283250476128	1.5983481420723	718.180973820618	9.84227196176884	37.6436166516745	0.547552043330634	-0.681784311829178	-0.00112917121166334	0.00313647088081065
0.26	-3.64835689434225	1.62610005651907	718.267189385422	9.79235520701318	37.6506940706983	0.5451826364949	-0.680130372837224	-0.00119709462171524	0.00314136493773415
0.27	-3.61056784110374	1.65797154228669	718.211989384875	9.73427845610656	37.6342006869465	0.546164282893695	-0.681938141407088	-0.00127378832374025	0.00312359362349018
0.28	-3.56866112011207	1.68856611209383	718.015877858317	9.66784013756479	37.5942135874513	0.549860898336189	-0.686279494939646	-0.0013595640372871	0.00308324744598321
0.29	-3.52175697864043	1.71053099113814	717.703289852192	9.59488021927917	37.5326015692717	0.554923827878034	-0.691421779494912	-0.0014523240138079	0.00302118796993128
0.3	-3.46955712959308	1.71690225066876	717.317151766091	9.51883669886928	37.4528853256102	0.559663377424379	-0.695328443637034	-0.00154807015383884	0.00293923294496945
0.31	-3.41277701534326	1.7035372081011	716.910191817315	9.4440480873152	37.3598545600384	0.562534216050188	-0.696272855291415	-0.0016417119870894	0.0028402414758214
0.32	-3.35330841974212	1.67087665786116	716.535432134746	9.37496142514929	37.2590015246659	0.562562063466635	-0.693353650059733	-0.00172799761948195	0.00272801108605447
0.33	-3.29404455819912	1.62447325242715	716.23815833544	9.31539025283435	37.1558419660901	0.559565640594841	-0.686736569022864	-0.0018024078322284	0.00260692105763927
0.34	-3.23829353307768	1.57408685791519	716.050861538282	9.26793027268847	37.0552082403424	0.554109728585638	-0.67754852459209	-0.00186188795820408	0.00248132940321205
0.35	-3.1887821156296	1.53156873089819	715.991478992273	9.23359563373662	36.9606204764247	0.547229582103763	-0.667476730307019	-0.00190533234404133	0.00235484136731795
0.36	-3.14641834958385	1.50810572306376	716.064176169777	9.2116975405334	36.8738597967647	0.540051440218266	-0.658230159349459	-0.0019337742840283	0.00222966966781407
0.37	-3.10917298673991	1.5115712410301	716.261346565019	9.1999567057455	36.7948617343204	0.533463479339544	-0.65106123424819	-0.00195026738396253	0.00210634100549706
0.38	-3.07154963072465	1.5446862682559	716.565650884742	9.19482262165101	36.7219996308985	0.52795449301872	-0.646507089159271	-0.00195947443211641	0.00198392948185999
0.39	-3.02505248824023	1.60445457691978	716.951618470708	9.19195911621468	36.6527356164675	0.523652086851472	-0.644410407739133	-0.00196701270427491	0.0018608235836195
0.4	-2.9598071193579	1.68298052255168	717.387152895444	9.18683813925974	36.5845038395823	0.520499173681654	-0.64416468216522	-0.00197864454852892	0.00173582117931215
0.41	-2.86710717163354	1.76941136527623	717.835732966679	9.17535923710037	36.5155984432313	0.51845108537998	-0.645048304113352	-0.00199944450520639	0.00160918773133267
0.42	-2.74227895307681	1.85246822745085	718.259906419484	9.15438966391028	36.4458092623908	0.517580591514938	-0.64649802138269	-0.00203310209939322	0.00148328383602342
0.43	-2.58702564988048	1.92290813096867	718.625926024983	9.12211698603979	36.3766026066573	0.51803793477724	-0.648223737408562	-0.00208151035827353	0.00136249291216572
0.44	-2.41044414288824	1.97531679418857	718.908483188949	9.07813631592769	36.3107712302106	0.519894283375168	-0.650152358634586	-0.00214473176179042	0.00125241486915373
0.45	-2.2282203527044	2.00884404281667	719.093962913023	9.02325632465555	36.2516362600235	0.522958474241586	-0.65226577064049	-0.00222133670778146	0.0011585463299611
0.46	-2.06001806437992	2.02679733340988	719.180828963401	8.95908205786419	36.202022245441	0.526670842784941	-0.65443458059683	-0.00230900827836744	0.00108484632612266
0.47	-1.9256171391585	2.03531648294709	719.176666197804	8.88748977045131	36.16330082182	0.530142162736934	-0.656336056845048	-0.00240524134795561	0.00103262660211861
0.48	-1.84074988348111	2.04157556275103	719.092722344969	8.81012768959972	36.1347871240393	0.532341294836841	-0.657495963625362	-0.00250795905562162	0.00100010056395811
0.49	-1.81370097479249	2.05203317133808	718.937954878295	8.72805318237115	36.1136803856132	0.532372914698702	-0.657436004486858	-0.00261592179583392	0.00098271764426866
0.5	-1.84354329950553	2.07116584718769	718.715065499771	8.641566540621	36.0955925990251	0.5297517139235	-0.655865667414519	-0.00272888329973597	0.000974173332043249
0.51	-1.92044379936233	2.10091384107321	718.420501486226	8.55024866689097	36.0755471496696	0.524581411773019	-0.652842451429355	-0.00284751645518422	0.000967795409791306
0.52	-2.02792293771607	2.14082805122025	718.049008278257	8.45317311495607	36.049196753631	0.517579690633853	-0.648837858255917	-0.00297316298455363	0.000957918883370434
0.53	-2.14644623584651	2.1887214694032	717.601499205703	8.34924622278041	36.0139425881529	0.509938456847449	-0.644679386944513	-0.00310745718600691	0.000940893479872418
0.54	-2.25740536616629	2.24155275327282	717.093452275142	8.23762302103009	35.9696527017777	0.503056152170093	-0.641378919521937	-0.0032518582080272	0.000915497173116731
0.55	-2.3464945244744	2.2963003762273	716.560387123261	8.11813867619742	35.9187742197662	0.498212841760439	-0.639893575655759	-0.00340712512812225	0.000882708462420834
0.56	-2.40571292254535	2.35067177857395	716.057544289461	7.99168131078915	35.8657860217682	0.496272702767856	-0.640886780922496	-0.00357279553538692	0.000844962406480521
0.57	-2.43365146953144	2.40357029937821	715.652564218199	7.86042047647529	35.8161070795115	0.497490443573875	-0.644558785667615	-0.00374676829391829	0.000805134054974899
0.58	-2.43421437177003	2.4552792708004	715.412219583097	7.72781119709825	35.7747168265037	0.501470392596481	-0.6505960500288	-0.00392511620411806	0.000765533383677353
0.59	-2.41433119708965	2.50732855028045	715.386351186456	7.59832660715512	35.7448219632846	0.507285972737504	-0.658252992870573	-0.00410223884571204	0.000727159488545681
0.6	-2.38141636261099	2.56202406057604	715.593395240254	7.47693039656196	35.7269001994066	0.513723370179298	-0.666538661387238	-0.00427140264341286	0.00068937093583743
0.61	-2.34129275836301	2.62167913346553	716.011837636444	7.36836856682829	35.7183669390154	0.519578812404129	-0.674448639010641	-0.00442561857352697	0.000650015405983084
0.62	-2.29705970790797	2.68768526150798	716.58055913187	7.27641758012113	35.7139650102884	0.523924901835737	-0.681170383475722	-0.00455870686142712	0.000605953610807952
0.63	-2.24905311324104	2.75965778555045	717.208719425152	7.20325424291718	35.7068026325545	0.526273249226169	-0.686202680876593	-0.0046663245782802	0.000553828716831684
0.64	-2.19572725033811	2.83493174956044	717.793230635808	7.14910061715889	35.6898014136231	0.526595231810844	-0.689362500082624	-0.00474671181794106	0.000490883564003786
0.65	-2.13506491093377	2.90862550510206	718.239741195952	7.11224372614846	35.6572061809001	0.525208948455181	-0.69069315664947	-0.00480095776286948	0.000415620671456896
0.66	-2.06603397315378	2.9743386153183	718.482003617216	7.08944429397257	35.6057853709548	0.522582642390518	-0.69032130303086	-0.00483269457199098	0.000328139352100354
0.67	-1.98965403706896	3.02535565521409	718.494835590538	7.07665119361824	35.5354279250851	0.519128454757236	-0.688324758836312	-0.00484727013878139	0.000230068853624199
0.68	-1.90938866871922	3.05606246467139	718.297512053057	7.06985608297634	35.4490046403655	0.51505757315124	-0.684664112956529	-0.00485058983780673	0.000124131310047959
0.69	-1.8307895165859	3.06321044374752	717.946898679435	7.06588317515477	35.3515640747085	0.510340628551352	-0.679202924254723	-0.00484790741674845	1.34816554699935e-05
0.7	-1.76052807208516	3.04671230560454	717.522286306871	7.06292901741416	35.2491132242836	0.504776456258263	-0.671805562319607	-0.00484285345022817	-9.89580769902298e-05
0.71	-1.70509911705486	3.00979423073699	717.106006085696	7.0607440056376	35.1473328877696	0.498133615994255	-0.662471812155637	-0.00483691053721746	-0.000210959310675551
0.72	-1.6695259233682	2.95850373943087	716.764931257389	7.0604568496259	35.0505651915592	0.490306622238874	-0.651454071569398	-0.00482940444669755	-0.000321120870485248
0.73	-1.65633751998608	2.90071409897581	716.537610575346	7.06414629002798	34.9612947186081	0.481430068655335	-0.639310439076397	-0.00481793056585023	-0.00042869432222159
0.74	-1.6649623291784	2.8448351936711	716.430092850021	7.07432256470283	34.8801709620746	0.471916202028193	-0.626871251019398	-0.00479902987013436	-0.000533247677216575
0.75	-1.691556440142	2.79843913810397	716.4209318926	7.09347388193209	34.8064531081154	0.462413660208407	-0.615127228160491	-0.0047689027142469	-0.000634371914422005
0.76	-1.72921753458954	2.76697160491424	716.473151674502	7.1237680971126	34.7386560312623	0.453712263192572	-0.605071990917679	-0.0047240015162533	-0.000731591083578509
0.77	-1.76854422255405	2.75269078441283	716.548955009478	7.16690946458846	34.6751671155808	0.446629970855992	-0.597541674247683	-0.00466144137080637	-0.000824511044961895
0.78	-1.79854968113237	2.75397984340915	716.622341958782	7.22407719305857	34.6146765201109	0.441911311510245	-0.593088400080537	-0.00457926124441199	-0.000913095199103431
0.79	-1.8079621873193	2.76520414851925	716.685776534244	7.29584989147705	34.5563765947425	0.440148697936137	-0.591908039911609	-0.00447661456554538	-0.00099786185834061
0.8	-1.78689116192712	2.77728626767628	716.749248418697	7.38205758175948	34.4999861176784	0.441720703166528	-0.59382481384004	-0.00435394829390556	-0.00107980782763534
0.81	-1.7287035100862	2.77909502350165	716.832728355836	7.48158224809073	34.4457020032791	0.446734654153376	-0.59832320471106	-0.00421315819874124	-0.0011599780779582
0.82	-1.63179445032481	2.75956145565661	716.955184342383	7.59220880338588	34.3941648762894	0.454968393793275	-0.60461423980266	-0.00405762710069602	-0.00123877311650378
0.83	-1.50082961276044	2.71017429027781	717.124292987604	7.71066576976503	34.3464655570895	0.465823171777833	-0.611726211474756	-0.00389201425099639	-0.00131523653498133
0.84	-1.3470452605231	2.62726358182039	717.330485618537	7.83295985860821	34.3041541386359	0.478315921339354	-0.618614243406865	-0.00372170444525666	-0.00138662530682326
0.85	-1.18733878116736	2.51337790837693	717.547273651	7.9550049516664	34.269176729235	0.491143664883996	-0.624284053454166	-0.00355194364255107	-0.00144850335959096
0.86	-1.04212892001783	2.37719364075636	717.737560981186	8.07341389237013	34.2436742361142	0.502839560238653	-0.627921238898061	-0.00338683811600138	-0.00149543491720389
0.87	-0.932250283549932	2.23177322102273	717.86366826659	8.18622190828715	34.2296271567866	0.512011563840521	-0.629010576926757	-0.00322850371772354	-0.00152214954593533
0.88	-0.87540092331191	2.09151057193678	717.897708123084	8.29329575412132	34.2283973019983	0.517620979074388	-0.627424594249749	-0.00307665708871774	-0.00152488157812553
0.89	-0.882828802730247	1.96857968298236	717.829044460903	8.39626818647747	34.240273272593	0.519233135456894	-0.623461172854711	-0.00292882374008696	-0.00150251233489701
0.9	-0.956979772700214	1.86994039253848	717.666709429376	8.49799141172599	34.2641492153771	0.517167974484132	-0.61781795858432	-0.0027811405584337	-0.00145718729633587
