Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	0.189125766753034	-0.184650517370987	736.612819880076	-5.44736570817038	4.82698339316554	0.719607364335667	-0.719472242054928	-0.00910083621403301	-0.0190418708991115
0.02	-0.0355191747631709	-0.184679798541964	742.996161001924	-5.54720760677522	5.25930411475677	0.719820059239792	-0.717589362955443	-0.00917460692915817	-0.0185293049990934
0.03	-0.201557675257548	-0.152988624413725	749.337922845607	-5.634251276616	5.69630157080869	0.713121440467722	-0.709678708052694	-0.00923193908875042	-0.0180132076441596
0.04	-0.261654453047978	-0.0671265659007165	755.53717597628	-5.69535045185126	6.13823463663451	0.693926278151284	-0.690848277269657	-0.00925659608669183	-0.0174944352762259
0.05	-0.213588046344831	0.0789768649032453	761.398427389394	-5.7213933348698	6.58861868327147	0.659859787444162	-0.658864454235218	-0.00923860098631313	-0.0169674195970949
0.06	-0.108932306005251	0.271422494979106	766.638426333467	-5.70924351323843	7.05601811605862	0.612290659917462	-0.614561445375527	-0.00917670127830794	-0.0164176735723811
0.07	-0.0449589845814817	0.47834664291667	770.937263997098	-5.66292590576389	7.55365791717341	0.555918503035963	-0.561500331650267	-0.00907938684846232	-0.0158229714671484
0.08	-0.141618982289588	0.657723342537823	774.018212553723	-5.59367890095206	8.09641931424867	0.497610368664307	-0.505067415820306	-0.00896412781527034	-0.0151585861166578
0.09	-0.509437215170106	0.769417785286386	775.731478233198	-5.51861396675226	8.69563606630356	0.444880101173223	-0.451349008720515	-0.00885475313762807	-0.0144056568435009
0.1	-1.21656963938543	0.788275765230275	776.115695694622	-5.45798985794267	9.35298929609301	0.404464280601166	-0.406137498445444	-0.00877725246932615	-0.0135605209029742
0.11	-2.26370787009496	0.714125613189601	775.416745219811	-5.43147231564107	10.0553774541018	0.381352019124596	-0.374306347764225	-0.00875469893603753	-0.0126421253173918
0.12	-3.57392443452558	0.57497318954886	774.054450027143	-5.45411028662486	10.7726609113438	0.378413957475534	-0.359590365424699	-0.00880234690651338	-0.0116947697469794
0.13	-5.00119449968665	0.42150008297252	772.541376890801	-5.53298356422916	11.4595663112568	0.396537196319596	-0.364613371786993	-0.00892410962571566	-0.0107844866050189
0.14	-6.3568169718695	0.313758569868254	771.371259931951	-5.66544676110879	12.0619170182497	0.43500795730992	-0.390910478892572	-0.00911144408576636	-0.00998910491307825
0.15	-7.44825820441115	0.303748973526511	770.904182042744	-5.83956462931534	12.5260553966847	0.491858635108799	-0.43874397762456	-0.00934513773674073	-0.00938396677527986
0.16	-8.12126854898408	0.419294076597767	771.278684924406	-6.0367680339251	12.809256380487	0.564010100059096	-0.506685045809899	-0.0095997168672266	-0.0090267502614686
0.17	-8.29463082947657	0.65453853979727	772.375910971136	-6.23612561441811	12.8884670971174	0.647226483376432	-0.59113890944519	-0.00984941524224259	-0.00894537745833096
0.18	-7.97827299193293	0.970410957925728	773.848357978791	-6.41913571649276	12.7650270245815	0.736058472789938	-0.686118737812325	-0.0100741274447484	-0.00913232410754716
0.19	-7.26957918454261	1.30514638205919	775.208852101571	-6.5737688884024	12.4640536835301	0.824001214697619	-0.783549424109245	-0.0102637216219701	-0.00954696204110339
0.2	-6.32852671291981	1.59163541362101	775.958586564099	-6.69669543086856	12.0286120415459	0.904012088560806	-0.874207510279711	-0.0104195357301937	-0.0101253656567344
0.21	-5.33808928865271	1.77614639537532	775.721492583651	-6.79314697115502	11.5101853970535	0.969366263826511	-0.949153304511293	-0.0105526880302996	-0.0107949759933457
0.22	-4.46041491994493	1.83263675374154	774.349456368321	-6.87452081011618	10.9579139935882	1.01465785714803	-1.00129688400303	-0.0106797383610495	-0.0114902568242081
0.23	-3.80035295812395	1.7684908442351	771.970084580837	-6.9544442816746	10.4092984553245	1.03666086211589	-1.02665405425449	-0.0108169666402153	-0.0121653539158212
0.24	-3.38564661022321	1.6204494969144	768.963985799117	-7.04440912930506	9.88453866209512	1.03478552656559	-1.02492578136801	-0.0109748879844624	-0.0128007770728674
0.25	-3.16823283986136	1.44265544524	765.877543278988	-7.1501702906643	9.38558319681602	1.01098932836247	-0.99924208133971	-0.0111545219443085	-0.0134029170517322
0.26	-3.04509549708436	1.29104107179675	763.294392295279	-7.2698707935198	8.89964847303679	0.96917499787933	-0.955169093235585	-0.0113464260864605	-0.0139972173682165
0.27	-2.89179798359147	1.20901843067492	761.699276724881	-7.39437315975248	8.40582527472409	0.914265687810378	-0.899294856593985	-0.0115327411033113	-0.0146174405654178
0.28	-2.59872446218803	1.21848202857635	761.368708452773	-7.50967583137207	7.88274163139297	0.851235687689731	-0.837815452994151	-0.0116916831694365	-0.0152942501240421
0.29	-2.10001247022167	1.31797855810795	762.313969805966	-7.6007312226699	7.31523933604205	0.784368130741275	-0.7755106004192	-0.0118032752178545	-0.0160461127562643
0.3	-1.38803406058571	1.48738922400171	764.286560996148	-7.65561455424507	6.69858161851085	0.716915902338038	-0.715344685864083	-0.0118548029644739	-0.016874477201419
0.31	-0.511040321818069	1.69651276331571	766.839233861078	-7.66892230120433	6.03960187742	0.651193783694873	-0.658711191056548	-0.0118445900363853	-0.0177637215856143
0.32	0.443370188588839	1.91415508789918	769.422515509663	-7.64351982547873	5.35510882628701	0.58898084540366	-0.60613005544611	-0.0117831634533296	-0.0186849900617407
0.33	1.37257259708007	2.11485938923804	771.490753476764	-7.59022683910331	4.66850081126769	0.532014475807369	-0.558078318295959	-0.0116915709448545	-0.0196021767377633
0.34	2.18329785400043	2.28187556406843	772.594062673082	-7.5255772328504	4.00576188063961	0.482345444336271	-0.515625484287605	-0.011597306756151	-0.0204781486958603
0.35	2.80956167528768	2.40667183566424	772.441102469119	-7.46825658258797	3.39183075782768	0.442399395670866	-0.480653554297678	-0.0115288172266539	-0.0212797527016956
0.36	3.22067897198935	2.48651936415892	770.92845799129	-7.43509182660872	2.84790181151932	0.414721592047271	-0.455620527956229	-0.0115097896597031	-0.0219809446272263
0.37	3.41952566139466	2.52200169907403	768.14139375432	-7.43750373640231	2.38974357869122	0.401512997881473	-0.443002215772215	-0.0115543768660628	-0.022564168910734
0.38	3.43410274767559	2.51572878070324	764.335086746971	-7.47916431903883	2.02678886436944	0.404141847388258	-0.444651143767994	-0.01166424732601	-0.02302061421925
0.39	3.30675905488551	2.47247724985754	759.90461549932	-7.55529903366043	1.76165710308345	0.422806103359325	-0.461307435903804	-0.0118279717775918	-0.0233500531347829
0.4	3.08496759715587	2.40001075731811	755.347724450852	-7.65371579255714	1.58990036602626	0.456438871478986	-0.492397669176375	-0.0120228369068472	-0.023560690701418
0.41	2.81580962719627	2.30941738384895	751.219752789068	-7.75729502386132	1.50001227863837	0.502836045392682	-0.53611813664933	-0.0122187615246582	-0.0236689912438093
0.42	2.54417028519758	2.2140822496975	748.078041530172	-7.84738956559366	1.4739546371113	0.558901106587551	-0.589687956742018	-0.0123836144165489	-0.0236990697316632
0.43	2.31297554239494	2.12718890982837	746.415099721317	-7.90740489198739	1.48851266253998	0.620887221823895	-0.649625405783104	-0.0124889447742258	-0.0236811176913996
0.44	2.16317423803592	2.05849179423674	746.585223179301	-7.92579847686177	1.51763780971743	0.684574330114096	-0.711954800517442	-0.0125150064715898	-0.0236485486081335
0.45	2.13168411149772	2.01159993119366	748.735713003849	-7.89787360454844	1.53562832918908	0.745411412752055	-0.772352605203142	-0.0124540551201455	-0.0236340037590143
0.46	2.24682200830947	1.98292729679299	752.758180893259	-7.82603281446945	1.52066126091452	0.798723965123734	-0.826327166813731	-0.0123112455921618	-0.0236648549036166
0.47	2.52221452655289	1.96284610866429	758.275127057545	-7.7185373110585	1.45797297879219	0.840087623965546	-0.869543404942087	-0.0121030020584069	-0.0237591545431744
0.48	2.95122413446069	1.93871424301053	764.671258787675	-7.58719040802384	1.34198869358097	0.865892579401304	-0.898337622391781	-0.0118533363114655	-0.0239229765028499
0.49	3.5041356454376	1.89872126251929	771.169250751044	-7.44461545862707	1.17693309858075	0.874005708328351	-0.910351232235058	-0.0115890749252837	-0.0241497572972993
0.5	4.12967586362709	1.83521522547679	776.938836732736	-7.30185216566027	0.975831213512262	0.86434072715548	-0.905108496705935	-0.0113351666204518	-0.0244217232370716
0.51	4.76115979484234	1.74643228263795	781.219726758493	-7.16683353577442	0.758194954831585	0.839126863485265	-0.884331432443161	-0.0111111103279812	-0.0247129692073014
0.52	5.32614994646661	1.63621395475113	783.43544536412	-7.04398680479585	0.546958575920325	0.80274183865058	-0.851847808322886	-0.0109291235184135	-0.0249934215515773
0.53	5.75748238839055	1.51206602341976	783.277582484481	-6.93483753617616	0.365303439981148	0.761114700520166	-0.813079392990391	-0.0107941129177848	-0.0252328569955304
0.54	6.00319848367917	1.38247431850423	780.747007960334	-6.83921106520747	0.233905596962785	0.720843783882895	-0.774235461623526	-0.0107050108780068	-0.0254043343765231
0.55	6.03339621313987	1.2545479202667	776.147879145227	-6.7565092878489	0.168918135570919	0.688250340020395	-0.741416705521203	-0.01065676109666	-0.0254867110872671
0.56	5.84306174044639	1.13279433045749	770.039039422109	-6.68661693973787	0.180761501976374	0.668568701702299	-0.719824349501148	-0.0106422443312593	-0.025466218674765
0.57	5.45113674731644	1.01929637646179	763.153642415961	-6.63021178354982	0.273622669301068	0.665378221750927	-0.713183621812764	-0.0106536824779401	-0.0253372527150216
0.58	4.89695366726218	0.914995308450423	756.300794164227	-6.58851913147915	0.445499302071117	0.680267912830542	-0.723383039438638	-0.0106834141055534	-0.0251025541010513
0.59	4.23541162999727	0.821406433252662	750.263164649149	-6.56275442584116	0.688657689771232	0.712655665075644	-0.750262690742819	-0.0107242334638306	-0.0247728620586081
0.6	3.53184872742606	0.742014755608851	745.703030798011	-6.55356395448083	0.990453714157114	0.759695772509976	-0.791491580665383	-0.0107696066209877	-0.0243659927367394
0.61	2.85678955064869	0.68279598524455	743.087134763557	-6.56069378981101	1.33453149704537	0.816288889097058	-0.842546687929948	-0.0108139948611102	-0.0239052349571043
0.62	2.28009606820078	0.651659563365997	742.638493297248	-6.58294838944571	1.70241701724379	0.875303013684014	-0.896894711232108	-0.0108533019597914	-0.0234170120657867
0.63	1.86395003679743	0.656962577477407	744.320600280759	-6.61833850566425	2.07545189506983	0.928154961544571	-0.946517718799337	-0.0108852562121596	-0.022927928789624
0.64	1.65467699498167	0.705483750376187	747.855791277721	-6.66424862631875	2.43689320683788	0.96584475133327	-0.982872969348889	-0.0109094683950558	-0.0224615394891309
0.65	1.67443518182544	0.80033621584738	752.774739123468	-6.71750906800543	2.77389174616005	0.980385163811802	-0.998237486037721	-0.0109270235921674	-0.0220353464226714
0.66	1.91472240210618	0.939264925188167	758.488797984077	-6.77439828975925	3.07900769050013	0.966380747931428	-0.987210137069022	-0.0109397108392828	-0.0216585849688598
0.67	2.33397769000305	1.11368100390507	764.372630053883	-6.83073682484419	3.3509604255035	0.922367530827588	-0.948005897990355	-0.0109492317523948	-0.0213312465899036
0.68	2.86099992561625	1.30868540677089	769.842806206504	-6.88227154353029	3.59443484115659	0.851500100146687	-0.883149363776072	-0.0109568103225766	-0.0210445574249591
0.69	3.4045735468169	1.50424478612534	774.41978479313	-6.92544259115326	3.81894598175892	0.761297116496363	-0.799288463071011	-0.0109634754695576	-0.0207828404724293
0.7	3.86800359416318	1.67757728649925	777.765524084142	-6.9584081280531	4.03694992294678	0.662401445396011	-0.706079687051752	-0.0109709496682926	-0.0205264216168391
0.71	4.16577623733059	1.80663689258328	779.695425359613	-6.98197391520038	4.26153822684349	0.566598709386345	-0.614369133642479	-0.0109827007929206	-0.0202550529092293
0.72	4.23875721496061	1.87432262496939	780.169167580592	-6.99995672096954	4.504139017663	0.484569279089012	-0.534114323984847	-0.0110044872722622	-0.0199512452069964
0.73	4.06447116053149	1.8727117397142	779.268422353069	-7.01858567009872	4.77265817437675	0.423941763632553	-0.472580638749012	-0.0110437833955671	-0.0196029240675117
0.74	3.66004296484667	1.80632343640427	777.169659356832	-7.04481747706464	5.07042758645564	0.388136900938425	-0.433269926955206	-0.0111078281728241	-0.0192049349891361
0.75	3.07706286505391	1.69330508997685	774.117831909373	-7.08382795335298	5.39618764684917	0.376264928675861	-0.415822191565152	-0.0112005830797254	-0.0187591154812436
0.76	2.38954481540542	1.5636270626238	770.403194102366	-7.13630727369444	5.74513046130324	0.384041305144683	-0.416847049289284	-0.0113194119870544	-0.0182729094767226
0.77	1.67781827781671	1.4539281810521	766.340558644658	-7.19639343995467	6.11079687637689	0.405409465377005	-0.4313823733076	-0.0114526062989785	-0.0177567968253203
0.78	1.01220640943336	1.39950611460088	762.2490961847	-7.25104043698104	6.48740214271933	0.434385493088388	-0.454521060260427	-0.0115788384219725	-0.0172210937675256
0.79	0.440408734046449	1.42490532521912	758.431456461313	-7.28132678028154	6.87202201273612	0.466608841995331	-0.482730814928787	-0.0116692236133412	-0.0166728744913307
0.8	-0.0184569946299888	1.53534212835649	755.152810863285	-7.26573654607577	7.26605811362416	0.500189433698029	-0.514506544575145	-0.0116920077536773	-0.0161137942065255
