Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	17.3137322453026	-2.9703217257848	617.38818684732	-62.348529831067	17.0724532144522	-2.01785805310486	-0.187175555267241	-0.00275149413280544	0.00637065628650837
0.02	17.0340981891574	-3.09081659996806	617.737226831191	-62.4322831620657	17.0290337522107	-1.89223551182429	-0.0853870654092421	-0.00283636247338556	0.00645414778123851
0.03	16.7599607690135	-3.20939461515059	618.077067216157	-62.5093436798874	16.9867768694397	-1.76881861214563	0.0144921582705159	-0.00291888293862117	0.00652869635141574
0.04	16.4965644604795	-3.32369305537762	618.400291982141	-62.5754144191316	16.9473926964026	-1.64992482661778	0.110536527874319	-0.0029959469320699	0.00658858725237724
0.05	16.2488113927907	-3.43145002398123	618.700167731502	-62.626571419829	16.9126236664802	-1.53773829997511	0.200937425434713	-0.0030644305980183	0.00662853586963981
0.06	16.0210679510616	-3.53058627670945	618.97095023548	-62.6594910985147	16.8841805639482	-1.434228556332	0.284069380113951	-0.00312131287100863	0.00664401178833932
0.07	15.8169965933871	-3.61927788528935	619.208133721462	-62.6716444308381	16.8636788987577	-1.3410797653293	0.358546542725777	-0.00316378998726832	0.00663152524434417
0.08	15.6394208223285	-3.69601671962344	619.408628769717	-62.6614460530891	16.8525782630019	-1.25963376862494	0.423267256261392	-0.00318938145337716	0.0065888572010124
0.09	15.4902291496919	-3.75965664485581	619.570859961798	-62.6283497836133	16.8521271389667	-1.19084916410915	0.477445340037799	-0.00319602301365105	0.00651521836327185
0.1	15.3703215526156	-3.80944427355938	619.69478010215	-62.5728858398215	16.863315353371	-1.13527775784055	0.520627489926136	-0.00318214288804075	0.00641132739066554
0.11	15.2795995086807	-3.84503401377682	619.78180345241	-62.4966388809169	16.8868360202627	-1.09305869594556	0.552696899857254	-0.00314671842570826	0.00627940400563289
0.12	15.2169983785862	-3.86648794717478	619.834665551424	-62.4021696721509	16.9230584013184	-1.06392964674595	0.573863805627436	-0.00308931128814759	0.00612307821583016
0.13	15.180558816793	-3.8742617141617	619.857221492336	-62.2928864191949	16.9720126537085	-1.04725357259158	0.584644135057644	-0.0030100802874241	0.00594722210358332
0.14	15.167532144585	-3.86917805121917	619.854197732855	-62.1728744889062	17.0333869500776	-1.04205895321508	0.585827825216364	-0.00290977200587159	0.00575771524602567
0.15	15.1745132932667	-3.85238991658454	619.83091447236	-62.0466951991519	17.1065369611626	-1.04709082485494	0.578438649302136	-0.00278969026163634	0.00556115853968768
0.16	15.1975940583262	-3.82533526775608	619.792996292754	-61.919165565447	17.1905072078825	-1.06086969364638	0.563687593755433	-0.00265164631429714	0.00536455381174793
0.17	15.2325290031863	-3.78968554520265	619.746088183228	-61.7951313291493	17.2840633346785	-1.08175526526593	0.542921946731677	-0.00249789239097181	0.00517496799131749
0.18	15.2749063861662	-3.74728980646479	619.695592394554	-61.6792453012395	17.3857339464505	-1.10801199050574	0.517572303455066	-0.00233104163328825	0.00499920076361235
0.19	15.3203169023043	-3.70011628181553	619.646439007668	-61.5757621168913	17.4938603026682	-1.1378736335132	0.489099659634975	-0.0021539779109839	0.00484347360233667
0.2	15.3645137591736	-3.65019292324825	619.602899913416	-61.4883590184351	17.6066518865151	-1.16960439430974	0.458944647741244	-0.00196975912396867	0.00471315601537675
0.21	15.4035585578583	-3.59954832353707	619.568452367277	-61.4199903968865	17.7222456735274	-1.20155452487757	0.428480771883311	-0.00178151763794232	0.00461254195382213
0.22	15.4339485388402	-3.55015421400031	619.545694686873	-61.372781663552	17.8387668189549	-1.23220883317548	0.398973220303059	-0.00159236139296317	0.00454468587446388
0.23	15.4527218941063	-3.50387062150989	619.536313260369	-61.3479657322844	17.9543884682545	-1.2602269388484	0.371544492226883	-0.001405279016411	0.00451130417963198
0.24	15.4575389685617	-3.46239468099828	619.541097050311	-61.3458631009866	18.0673884694019	-1.28447459952089	0.347147687271566	-0.00122305198669811	0.00451274394827178
0.25	15.4467382185061	-3.42721405469083	619.55999337628	-61.3659043450138	18.1762009242685	-1.30404584470745	0.32654789545017	-0.00104817655210776	0.00454801725463669
0.26	15.4193667233775	-3.39956589242932	619.592197047241	-61.4066918734002	18.279460751137	-1.31827601947786	0.310311721448141	-0.000882797723950741	0.00461489613942481
0.27	15.3751858388341	-3.3804022631935	619.636263935251	-61.4660961278009	18.3760397306232	-1.32674614275743	0.298804605018444	-0.000728657242054623	0.00471006059411824
0.28	15.3146532315215	-3.37036297847818	619.69023982261	-61.5413800773065	18.4650728595602	-1.32927922242166	0.292195283143797	-0.000587056955969278	0.00482928982947205
0.29	15.2388830596771	-3.36975669563432	619.751795750698	-61.6293449109706	18.5459742268043	-1.32592934333204	0.290466495928201	-0.000458838577788594	0.00496768565898359
0.3	15.1495864797479	-3.37855111741486	619.818362046182	-61.7264892641585	18.6184420354381	-1.31696446130382	0.293430876272337	-0.000344380243932716	0.00511991602975354
0.31	15.0489949926355	-3.3963729796889	619.887254565439	-61.8291741263598	18.6824528112538	-1.30284390438366	0.300750884528569	-0.000243609779230686	0.00528046653550289
0.32	14.9397694186572	-3.42251833368519	619.955788329991	-61.9337857430855	18.7382452420114	-1.28419161253469	0.311961647421815	-0.000156033998356779	0.00544388808692224
0.33	14.8248975275688	-3.45597337818778	620.021375467337	-62.0368893068459	18.7862944712044	-1.26176614750471	0.326495623465271	-8.07828242105381e-05	0.0056050297185487
0.34	14.7075835606537	-3.49544578223497	620.081606070376	-62.1353669870957	18.8272780110355	-1.2364284847739	0.343708128630245	-1.66664723069976e-05	0.00575924670071552
0.35	14.5911330676302	-3.53940606722017	620.134312107047	-62.2265348258507	18.8620347310577	-1.20910856574311	0.362902897739158	3.77565302582331e-05	0.00590257562290923
0.36	14.478836633283	-3.5861382019294	620.177615736076	-62.3082341711379	18.8915186127123	-1.18077154536096	0.383357010394082	8.41031279061773e-05	0.00603186984828551
0.37	14.3738561693927	-3.63379812387694	620.209964232882	-62.3788945809287	18.9167491292721	-1.15238462077374	0.404344658376236	0.00012408426576211	0.00614489063998748
0.38	14.2791174720932	-3.68047845957904	620.230154157481	-62.4375664538525	18.9387602112153	-1.12488527111059	0.425159360731432	0.000159421301476538	0.00624035126410682
0.39	14.1972126656262	-3.72427730375745	620.237347400866	-62.4839229809201	18.9585497867487	-1.09915167664898	0.445134333943184	0.000191763504139759	0.00631791342007677
0.4	14.1303159444729	-3.76336856424982	620.231081366887	-62.51823231968	18.9770318461526	-1.0759760160261	0.463660793468751	0.000222609786540932	0.00637813737673354
0.41	14.0801156671616	-3.79607111746954	620.211274861552	-62.5413021276651	18.9949928689422	-1.05604126135667	0.480204000374532	0.000253237638978131	0.00642238914130279
0.42	14.047765337347	-3.82091387817028	620.17823038126	-62.5543997185145	19.0130542785864	-1.03990200190455	0.494316878378027	0.000284641947607567	0.00645270979922928
0.43	14.033855335473	-3.83669389126031	620.132632547927	-62.559152088108	19.0316423565288	-1.02796972688915	0.505651021374559	0.000317486004710647	0.00647165377543071
0.44	14.0384064572592	-3.84252471836361	620.075541571963	-62.5574308688718	19.050966763033	-1.02050288759627	0.513964900679235	0.000352066570599902	0.00648210412380418
0.45	14.0608854082439	-3.83787272274581	620.008379964777	-62.5512278805381	19.0710084859498	-1.01760193967984	0.519129076313587	0.000388294344736681	0.00648707399587069
0.46	14.1002414442829	-3.8225793455894	619.932910378049	-62.5425273307599	19.0915176802841	-1.01920944063261	0.521128227973321	0.000425690662155698	0.00648950412010417
0.47	14.1549623926076	-3.79686809393437	619.851202485608	-62.5331808589142	19.1120214830644	-1.0251151475718	0.52005985635506	0.000463400662697584	0.00649206639649771
0.48	14.2231473966896	-3.76133569339007	619.765587265844	-62.5247914964496	19.1318415021473	-1.03496592952766	0.51612956811605	0.000500222594768014	0.00649698354192581
0.49	14.3025929584287	-3.71692765465408	619.678597855748	-62.5186122299306	19.1501202977129	-1.04828017894447	0.509642947613324	0.000534652321697648	0.00650587408998264
0.5	14.3908882530768	-3.66489931306685	619.59289725044	-62.5154642006997	19.1658558152866	-1.06446628139025	0.500994131551152	0.000564941508319972	0.00651963095090255
0.51	14.4855153036933	-3.60676417335411	619.511194392264	-62.5156786717947	19.177942403245	-1.08284458255449	0.490651331442862	0.000589167393235165	0.00653834019157541
0.52	14.5839494454854	-3.54423207727599	619.436151483994	-62.5190657659174	19.185216769644	-1.10267217952789	0.479139684011319	0.00060531151926441	0.00656124474736937
0.53	14.6837555924475	-3.47914026534347	619.370286516724	-62.5249116700446	19.1865070156255	-1.12316976150443	0.467021941191547	0.000611344327869964	0.00658675550045246
0.54	14.7826761297005	-3.41338078886752	619.315875882422	-62.5320045694006	19.180682736771	-1.14354963655913	0.454877629586486	0.000605312154774103	0.00661250965763524
0.55	14.8787067712414	-3.34882792007897	619.274862431263	-62.5386880857109	19.1667041184419	-1.16304401015129	0.443281405794456	0.000585422927482666	0.00663547376631926
0.56	14.9701574096924	-3.28726919288336	619.24877436573	-62.5429395315709	19.1436679721022	-1.18093253261412	0.432781402685075	0.000550126792239067	0.00665208617357042
0.57	15.0556957994664	-3.23034348466352	619.238659919511	-62.5424689393392	19.1108487689083	-1.19656811300905	0.423878398290916	0.000498188011856856	0.00665843142599908
0.58	15.1343728104274	-3.17948913234529	619.245041884287	-62.5348336637012	19.0677329222515	-1.20940001145856	0.417006641269908	0.000428744788369746	0.00665043719077091
0.59	15.2056289170506	-3.13590448683913	619.267894804144	-62.5175624694884	19.0140448458275	-1.21899327697602	0.412517134131855	0.000341354171189363	0.00662408289742374
0.6	15.2692825009133	-3.10052258178861	619.306646174369	-62.4882824644682	18.9497636572279	-1.22504369696363	0.410664107868306	0.000236019890981695	0.00657560857040465
0.61	15.3255013980884	-3.07400076594238	619.360201399465	-62.444842065002	18.8751297942182	-1.22738756966077	0.411595320176388	0.00011320177409354	0.00650171231147914
0.62	15.3747598787577	-3.0567252697734	619.426990730263	-62.3854234106673	18.7906412438852	-1.22600580048516	0.415346675555044	-2.61937084372506e-05	0.00639972561207755
0.63	15.4177838716143	-3.04882979594712	619.505035046955	-62.3086382647564	18.6970395337641	-1.22102205241708	0.42184150134434	-0.000180841277695985	0.00626775708192352
0.64	15.4554877151765	-3.05022639058844	619.59202629427	-62.2136024156161	18.5952860779758	-1.21269494061127	0.430894622659044	-0.000349041697899202	0.00610479716964669
