Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	12.1444083902678	2.27680343759385	696.23710407588	-42.6722714820701	-3.57478047949801	-0.785355525581091	-0.029096057864902	0.000521232310952225	-0.00574382354734219
0.02	12.0385124903108	2.79379502579809	697.658182089665	-42.7907555687181	-3.47856914174328	-0.788194869218823	-0.0356403453156871	0.000662940225188339	-0.00569790903284047
0.03	11.9325898024027	3.30734220419204	699.089532655657	-42.917108271195	-3.38419622708098	-0.791277973743255	-0.0424901489993747	0.000801693926495773	-0.00564286433309327
0.04	11.8273077340462	3.8106777400693	700.522816579257	-43.0537970263351	-3.2932498363716	-0.79464101471957	-0.0496099750081594	0.000935180837207886	-0.00557442369592496
0.05	11.7232615526427	4.29716891729024	701.949309262549	-43.2027522872764	-3.20718342208884	-0.798292178821492	-0.0569422511136749	0.0010612941120938	-0.00548898751966347
0.06	11.6209795236064	4.76046315293986	703.359680397639	-43.3651313681381	-3.12725899950416	-0.802205607929948	-0.0644053353098791	0.00117821033474211	-0.00538394916020035
0.07	11.5209332552142	5.19462873999928	704.74382038457	-43.5411312448469	-3.05449984454664	-0.80631781362589	-0.0718931992322843	0.00128445329350217	-0.00525795988512869
0.08	11.4235521401002	5.59428799081247	706.090741604265	-43.7298652912909	-2.9896550807264	-0.810526971119091	-0.0792769025363623	0.00137894076017461	-0.00511111135486561
0.09	11.3292405281938	5.95473950203496	707.388575470703	-43.9293136330571	-2.93317784741226	-0.814695242849431	-0.0864078065309403	0.00146101218518424	-0.00494502185814313
0.1	11.2383960658434	6.27206588730646	708.62467773498	-44.1363510330008	-2.88521794133641	-0.81865402086066	-0.0931223274534242	0.0015304363288509	-0.00476282019625828
0.11	11.1514275041289	6.54322323320808	709.785845500689	-44.3468504757546	-2.84562898579304	-0.822211737798677	-0.0992479172570128	0.00158739899454111	-0.00456902890340067
0.12	11.0687702307043	6.76610877643755	710.858640423855	-44.5558553188642	-2.81398936146443	-0.825163697925404	-0.104609890263269	0.00163247213875649	-0.0043693557700111
0.13	10.9908978278766	6.93960387532239	711.829804124756	-44.7578083727136	-2.78963538008314	-0.827303234902748	-0.109038687281868	0.00166656663265317	-0.00417040885895849
0.14	10.9183281158838	7.06359021476956	712.686744385661	-44.946822814797	-2.77170454209624	-0.828433419402751	-0.112377178105035	0.0016908717762094	-0.0039793549571126
0.15	10.8516224101327	7.13893826652735	713.418064646429	-45.1169775952386	-2.75918622830008	-0.828378518394723	-0.114487637853882	0.00170678527222561	-0.00380354442774669
0.16	10.7913771029729	7.16746823152509	714.014104981044	-45.2626190135371	-2.75097685850037	-0.826994445945886	-0.11525808050413	0.00171583772262053	-0.00365012662415273
0.17	10.7382071641248	7.15188491463993	714.467460414904	-45.3786504157152	-2.74593642108176	-0.824177535317233	-0.114607683656025	0.00171961580373537	-0.00352567944911411
0.18	10.6927217191039	7.09568912402696	714.773442308848	-45.4607933718604	-2.74294333697308	-0.819871093915366	-0.112491085509901	0.00171968811940586	-0.00343587449037304
0.19	10.6554924820126	7.00306915992712	714.930450663533	-45.5058060769938	-2.74094485884388	-0.814069364297306	-0.108901375967489	0.00171753734630168	-0.0033851957246155
0.2	10.6270164490743	6.87877669577503	714.940229526696	-45.5116478554503	-2.73900059950717	-0.806818693071576	-0.103871641044173	0.00171450171493035	-0.00337672542426821
0.21	10.6076748565853	6.72799181803467	714.807984010565	-45.4775822921282	-2.73631730131689	-0.798215892354023	-0.097474958551931	0.00171172816052665	-0.00341200601363154
0.22	10.5976909220925	6.556182169175	714.542345393948	-45.4042154022207	-2.73227356285917	-0.788403953342106	-0.0898227893788774	0.00171013868431414	-0.0034909815878528
0.23	10.597089271385	6.36896104566313	714.155179904855	-45.2934691282208	-2.72643388827501	-0.777565427879943	-0.0810617673759528	0.00171041064133032	-0.003612017978134
0.24	10.6056601619449	6.17194897671608	713.66124645783	-45.1484940829153	-2.71855207467895	-0.765913922807801	-0.071368963396081	0.00171297086698311	-0.00377199590993768
0.25	10.6229316110721	5.97064280181733	713.077718189847	-44.9735286363044	-2.70856456260807	-0.75368424690024	-0.0609457827417105	0.00171800281563943	-0.00396646817787898
0.26	10.6481523031517	5.77029563499034	712.423591415674	-44.7737140118217	-2.69657490606477	-0.741121807271747	-0.0500107433265152	0.00172546524791031	-0.00418986899624066
0.27	10.6802876819982	5.57581041045123	711.719012960737	-44.5548769004848	-2.68283094237737	-0.728471869820271	-0.0387914643236307	0.0017351204971086	-0.00443576184921249
0.28	10.7180309467847	5.39164899950012	710.984562170729	-44.3232921598266	-2.667696536687	-0.715969277647261	-0.0275162608000638	0.00174656998859265	-0.00469711126573738
0.29	10.7598297992258	5.22175821270871	710.240526826943	-44.0854384280659	-2.65161993050773	-0.703829165790959	-0.0164057786463202	0.00175929448811931	-0.00496656393068522
0.3	10.8039287889457	5.0695133811476	709.506212476375	-43.8477589914205	-2.63510073825968	-0.692239125356053	-0.00566510888477022	0.00177269651763796	-0.00523672532420696
0.31	10.8484260413914	4.93767965848445	708.799322278096	-43.6164390746189	-2.61865751984358	-0.681353162083336	0.0045232113639711	0.00178614249114059	-0.00550041953061872
0.32	10.8913421059677	4.8283907038785	708.135439539437	-43.3972089972092	-2.60279762995076	-0.671287671512394	0.0140049697045044	0.0017990023728435	-0.00575092183283993
0.33	10.9306977124164	4.74314398767563	707.52763802673	-43.1951804926702	-2.58799073146215	-0.662119523632015	0.0226585717006725	0.00181068502096863	-0.00598215605314423
0.34	10.964596448476	4.68281159852343	706.986236408848	-43.0147210809783	-2.57464699089249	-0.653886222775259	0.0303977147487402	0.00182066782196885	-0.00618885115741271
0.35	10.9913078386503	4.64766511272499	706.518703471004	-42.8593688811875	-2.56310057987047	-0.646587991450391	0.0371724112318446	0.00182851970669478	-0.0063666542530004
0.36	11.009346062606	4.63741280896794	706.129710733208	-42.731787807412	-2.55359871845076	-0.64019152670961	0.0429684307073379	0.00183391713407741	-0.00651219963328498
0.37	11.0175396303987	4.65124727377172	705.821319545804	-42.6337608544192	-2.54629614040483	-0.634635099964066	0.0478053130224525	0.0018366530928048	-0.00662313582251713
0.38	11.0150877334529	4.68790125050298	705.593281291885	-42.5662172713694	-2.54125455886928	-0.629834619460282	0.0517331615685213	0.00183663957507138	-0.00669811453943721
0.39	11.0015996923394	4.74570944788201	705.443422585717	-42.5292879396755	-2.5384464775484	-0.625690250537439	0.0548284568519357	0.00183390429418039	-0.00673674703811503
0.4	10.97711487844	4.82267395591251	705.368082762866	-42.5223822769124	-2.53776253571394	-0.622093191842841	0.0571891377109181	0.0018285826347709	-0.00673953433905562
0.41	10.9421016302208	4.91653093218291	705.362568791344	-42.5442795121301	-2.5390214953463	-0.618932233531566	0.0589291864165131	0.00182090593664799	-0.00670777840420893
0.42	10.8974349356683	5.0248163315021	705.42159309411	-42.5932272133059	-2.54198197076643	-0.616099772104956	0.0601729317549434	0.00181118722687187	-0.00664348134109647
0.43	10.8443539227572	5.14492866393724	705.539662582698	-42.6670404571313	-2.54635505512187	-0.613497020688622	0.061049258278587	0.00179980544476186	-0.00654923928173318
0.44	10.7844014018689	5.2741870801574	705.711392215032	-42.7631959485581	-2.55181710093279	-0.611038227192119	0.0616858862966289	0.00178718907160561	-0.00642813673913054
0.45	10.7193487569794	5.40988348885011	705.931723221407	-42.878916633312	-2.55802204860725	-0.608653789698134	0.0622038698166386	0.00177379990480673	-0.006283646090062
0.46	10.651110318219	5.5493278889524	706.196034294436	-43.0112437954695	-2.56461285204427	-0.606292232712283	0.0627124500535605	0.00176011752848547	-0.00611953547664506
0.47	10.5816519166314	5.68988661982019	706.500142940092	-43.1570951798334	-2.5712317096153	-0.603921074521779	0.0633043994903531	0.00174662485003918	-0.00593978697883006
0.48	10.5128985926373	5.82901375760115	706.840203228506	-43.3133092095191	-2.57752895915085	-0.601526671047388	0.0640519932075778	0.00173379491131026	-0.00574852550230088
0.49	10.4466463943396	5.96427637351468	707.212514753203	-43.4766767730437	-2.58317062667331	-0.59911316288026	0.0650037466188423	0.00172207905487445	-0.00554995755982957
0.5	10.3844828728024	6.09337477634191	707.61326512615	-43.6439632349711	-2.58784472292264	-0.596700678868662	0.0661820578279797	0.00171189643608743	-0.00534831809060195
0.51	10.3277202899833	6.2141591480714	708.038234285082	-43.8119242005876	-2.59126645459632	-0.594322962321096	0.0675818848083945	0.00170362482033001	-0.00514782273100669
0.52	10.277344747832	6.32464411793388	708.482492840434	-43.9773190814886	-2.59318255697289	-0.59202458654015	0.0691705694620025	0.00169759258851729	-0.00495262256519593
0.53	10.2339834824462	6.42302278843542	708.940128326309	-44.1369266342638	-2.59337496224623	-0.589857917854213	0.0708888903123806	0.00169407188531354	-0.004766758359568
0.54	10.1978915103066	6.50768152568991	709.404032361921	-44.2875663747785	-2.59166399691554	-0.587879969971725	0.0726533822601215	0.00169327287452292	-0.00459411160929772
0.55	10.1689577320037	6.57721647065066	709.86577834596	-44.4261291292093	-2.58791125738451	-0.58614927683275	0.0743599059043294	0.00169533910486376	-0.00443835035811378
0.56	10.1467295577068	6.63045224942465	710.315613526979	-44.549619019196	-2.58202225241	-0.584722895281431	0.0758883822462384	0.00170034402717892	-0.00430286863311369
0.57	10.1304541766442	6.6664628051092	710.742581414259	-44.6552079643094	-2.57394883193725	-0.583653636121217	0.0771085344807195	0.00170828873290001	-0.00419071938534611
0.58	10.1191337989102	6.68459369524278	711.134780971489	-44.7403024112233	-2.5636913520754	-0.582987613587663	0.0778864019213804	0.00171910099743388	-0.0041045419534276
0.59	10.111591588366	6.68448465650518	711.479758469321	-44.8026205692067	-2.55130046290184	-0.582762198810796	0.0780913181553903	0.00173263570826923	-0.00404648617598365
0.6	10.1065446026946	6.66609078795809	711.765016976227	-44.8402770558983	-2.53687835568982	-0.583004460985011	0.0776029835515376	0.00174867673651126	-0.00401813627574127
0.61	10.102679868843	6.6297003940038	711.978618027906	-44.851870644789	-2.52057927362832	-0.583730178211397	0.0763182188752735	0.00176694027586359	-0.00402043843913134
0.62	10.0987297434634	6.57594739344418	712.109840843379	-44.8365698567041	-2.50260907779412	-0.58494349517742	0.0741569691086577	0.00178707963077774	-0.00405363655083074
0.63	10.093542920851	6.50581626010952	712.149857322084	-44.7941905359689	-2.48322366869226	-0.586637293743799	0.0710671402269183	0.00180869139272266	-0.00411722076331199
0.64	10.0861478281334	6.42063771384768	712.092376629608	-44.7252593591442	-2.46272609193431	-0.588794322366768	0.0670278997496747	0.00183132290709116	-0.00420989346095235
0.65	10.0758056556264	6.32207381059223	711.93421196302	-44.6310574735508	-2.44146220195426	-0.591389099410454	0.0620511541895159	0.00185448090812554	-0.00432955671500873
0.66	10.0620508728933	6.2120916532208	711.675724362687	-44.5136391561896	-2.41981481642312	-0.594390563629549	0.0561810291828701	0.00187764118742038	-0.00447332454228903
0.67	10.0447177417284	6.09292561506766	711.321104226582	-44.3758214906793	-2.39819636199006	-0.597765394019916	0.0494913135634744	0.00190025916154435	-0.00463756222086766
0.68	10.0239520220433	5.96702868159773	710.878460224351	-44.2211425189702	-2.37704008471992	-0.60148186418565	0.0420809762814619	0.0019217812113066	-0.00481795364290897
0.69	10.0002077453731	5.83701421651214	710.359697062035	-44.0537870470454	-2.35678997178858	-0.605514038153618	0.034068012175729	0.00194165667200696	-0.00500959627310587
