Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	-4.08603700401172	-1.1384488203855	643.380357127971	5.14835758945577	24.5105588991651	0.416696727227391	-0.406957481134326	-0.00295617028630724	0.0145876862033543
0.02	-3.51277148276851	-0.72515296785253	651.703950548265	4.9939671546366	24.328100751718	0.410363526165641	-0.410880032913831	-0.00328445577872993	0.0138512097110338
0.03	-2.9642395730416	-0.301481737310543	659.639436119163	4.87547610881683	24.0851689741217	0.409353503753036	-0.420479540214518	-0.00355441228482489	0.0130501193944771
0.04	-2.46485012359785	0.139642023811283	666.830528891217	4.82276192793897	23.7369330812547	0.417624813075773	-0.439936282840358	-0.00371717223959811	0.0121410327303882
0.05	-2.03394416568886	0.588167790042185	672.841128543813	4.85270547510648	23.2572844417811	0.437207019093658	-0.470967089558607	-0.00374213251619637	0.0111090529678167
0.06	-1.68299625416739	1.01470544965814	677.16950087304	4.96619769256957	22.6421621850343	0.46814683153475	-0.512720074736026	-0.00362151288686652	0.00997113213856599
0.07	-1.41366124915089	1.37494541356277	679.320761641487	5.14855455189832	21.9086434685801	0.508959159196161	-0.562384542383514	-0.00337060726398475	0.0087713221536237
0.08	-1.21739558226224	1.61918931118793	678.91576905352	5.37305899972441	21.090339022787	0.557277915256991	-0.616151872677668	-0.00302390763906224	0.00756977472522707
0.09	-1.07704916909671	1.70427817245979	675.802699688492	5.60669796574983	20.2303521558331	0.610370204870016	-0.670095076994718	-0.0026280800810613	0.00642874536756005
0.1	-0.970258077057242	1.60492835606858	670.137623475395	5.81679796388581	19.3734253643413	0.665316824513903	-0.72067131296627	-0.00223327881286517	0.00539921021803946
0.11	-0.873904882214814	1.32188924931667	662.409862085877	5.97721125431295	18.5588871837803	0.718885629400225	-0.764797887424949	-0.00188444547202915	0.00451114857811513
0.12	-0.768563096591458	0.885115442416794	653.402662700743	6.0729156108586	17.8156604763193	0.767313258799884	-0.799675472933433	-0.00161409752216812	0.00376935703495213
0.13	-0.641824897609049	0.351093334589869	644.095365121241	6.10227962344813	17.1600019498295	0.806273827351278	-0.822630552195472	-0.00143774249028183	0.00315518752305366
0.14	-0.489735152107251	-0.205497839621067	635.526089370781	6.07672247258414	16.595965603834	0.831227255910217	-0.831194181286121	-0.00135254463169232	0.00263320281144869
0.15	-0.316118204862839	-0.704510979339655	628.641525212707	6.01797918013203	16.1179943423204	0.838153557825761	-0.823473534657914	-0.00133929298233082	0.00216073678340184
0.16	-0.130207800894047	-1.07511541467278	624.161625919288	5.95359416801671	15.714685550756	0.82448420265778	-0.798696968899605	-0.00136715432174761	0.00169793701468551
0.17	0.0565268451137654	-1.26956497341048	622.482363007595	5.91154281727914	15.3727098141778	0.78992692796201	-0.757708383250743	-0.0014002317726125	0.00121608665075712
0.18	0.233281455959232	-1.27273773285949	623.630924866047	5.91497907345225	15.0800534509416	0.736893131560095	-0.703194315161358	-0.00140467689553492	0.000702708143841713
0.19	0.391640572135552	-1.10493458454448	627.27730540121	5.97801890320073	14.8280984558342	0.670365030584862	-0.639531653350487	-0.00135507408981406	0.00016287966924422
0.2	0.525703403828214	-0.816928922868944	632.796584524541	6.10322848062733	14.6124163083741	0.5972229189561	-0.57228667909493	-0.00123902514403285	-0.000382939959676754
0.21	0.630835198832399	-0.478223839656515	639.369108636996	6.28115799258006	14.4324294278023	0.52521462759229	-0.507509689748205	-0.00105924266160806	-0.000903690784268496
0.22	0.701876347507633	-0.161316295417621	646.101915712082	6.49191967346417	14.2902391130896	0.461831840044195	-0.451009759676582	-0.000832915319167293	-0.00136396592557697
0.23	0.731995314414645	0.0741147595742441	652.153785827437	6.70850668017405	14.1889482225849	0.413343410857371	-0.407757649919905	-0.000588545184189493	-0.00173065492256247
0.24	0.713283105616647	0.193176158524683	656.847357172328	6.90131320373328	14.1307789791436	0.384147035502847	-0.381483175689268	-0.000360822618881818	-0.00197907523033419
0.25	0.639575456592385	0.191086165054353	659.754021966266	7.04315114187335	14.11526415837	0.37648415317619	-0.374452663303341	-0.000184377190545315	-0.0020978693935414
0.26	0.510965623233124	0.0909340510702261	660.740505607096	7.11396928452068	14.1378048762041	0.390465920334744	-0.387369105242816	-8.74158151304982e-05	-0.00209204643768612
0.27	0.338377785056445	-0.0650294323255741	659.970359893857	7.10448453979728	14.1889207414991	0.42430911589704	-0.419343707461265	-8.63149034777688e-05	-0.00198360777664663
0.28	0.145907203620736	-0.227906879833289	657.859408018418	7.01805738458257	14.2545066827317	0.474682526815977	-0.467927478879732	-0.000182140873239534	-0.00180934068402877
0.29	-0.0311478719424907	-0.355087145359275	654.991330505936	6.87040051429974	14.3172872976634	0.537098072912895	-0.52923465281947	-0.00035980736213026	-0.00161570910156039
