Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	-1.34724755408683	0.0875701373566992	763.958297574537	12.6842638998683	-24.0776662628654	1.1957483521448	-1.21512956230783	0.00648077267860792	0.00547344206320771
0.02	-2.03319829911159	0.264198062067515	765.722658261634	12.7062795738049	-23.5812131589207	1.18148175251987	-1.20710794602419	0.00647215738786677	0.00619262035307733
0.03	-2.6890486443961	0.445439774345248	767.303097579362	12.722504476391	-23.0744905595765	1.1655921078809	-1.19692115234414	0.00646003883058377	0.0069178110362062
0.04	-3.28308121330504	0.634434185462019	768.556613183856	12.7281446339645	-22.5549119317058	1.14778074779506	-1.18372047261406	0.00644128970827229	0.00764660789732041
0.05	-3.78525788386292	0.829044067548269	769.389249775039	12.7215644656257	-22.0282618237113	1.12970788202619	-1.16876370997258	0.00641580413532972	0.00836779003812599
0.06	-4.17111132592509	1.02115750916634	769.764459663125	12.704816528941	-21.5080702747597	1.11487542720749	-1.15537646357391	0.00638701245749251	0.00906250230102429
0.07	-4.42686859404675	1.19785806025941	769.699626166366	12.6831454746805	-21.0120703879783	1.10765215564332	-1.14803120422432	0.00636132849408277	0.00970871071586044
0.08	-4.55398791839691	1.34404659102204	769.252777409159	12.6636675759878	-20.5571970632479	1.11177585940779	-1.15086013146157	0.00634674031383942	0.0102871218283121
0.09	-4.57105540526842	1.44577127697673	768.504319943816	12.6536489322187	-20.1549782955544	1.12887475808207	-1.16612872431869	0.00635098154625946	0.0107863639450605
0.1	-4.51162831106809	1.49342204635742	767.539596785724	12.6588828816932	-19.8088325363318	1.15755519680068	-1.19321364508642	0.00637980164261576	0.0112057122396807
0.11	-4.41792174537873	1.48403938567016	766.436851850396	12.6825857489312	-19.5139542911763	1.193406480306	-1.22845092936857	0.00643577857302702	0.0115546744647994
0.12	-4.33175737836741	1.42222949214679	765.262414821182	12.7250279711668	-19.2595007082895	1.22995043023568	-1.26591609696738	0.00651791989889883	0.0118499035815183
0.13	-4.28533948365448	1.31951267880317	764.071901859153	12.7838742737083	-19.0320334650663	1.26023250448807	-1.29887838217757	0.00662205133425631	0.0121107648006234
0.14	-4.29470227637957	1.19229122684972	762.914243677689	12.855012223179	-18.818863391308	1.27853391530922	-1.32145102633813	0.00674178406338966	0.0123551949279342
