Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	30.9386387721794	-1.43546433405713	686.76005572674	-57.3990197108393	8.7669792645331	-2.69314280588086	-0.0892938877577772	0.00658579121704412	0.0207781151794803
0.02	30.8745073777005	-1.3045935139957	687.427821167265	-57.6140441850926	8.5940569927427	-2.72579438280636	-0.122110327335966	0.00631929256443887	0.0210020831625322
0.03	30.8124438157507	-1.179355360164	688.049574137824	-57.8166717015165	8.42390719155009	-2.75785221478543	-0.154435148427182	0.00605759230456974	0.021213391585321
0.04	30.7542952448759	-1.06380076154129	688.601277397391	-57.9971899025931	8.25888630040586	-2.78871900312782	-0.185814049330188	0.00580455429936778	0.0214006965384641
0.05	30.7018475068534	-0.961772670629743	689.06083722336	-58.1462836094341	8.10110669767299	-2.81783312731642	-0.215826848302055	0.00556364931919911	0.0215530244099908
0.06	30.6567515354026	-0.876727288509714	689.409313034674	-58.2554811949447	7.95236055669209	-2.84469055303645	-0.24410209325366	0.00533782338316859	0.0216602818237474
0.07	30.6204551912521	-0.811568942579417	689.632025795016	-58.3175614473736	7.81406007109656	-2.86886424355265	-0.270330064607638	0.00512939242013572	0.0217137174455505
0.08	30.5941440193089	-0.768507824305684	689.719494959334	-58.3268982041365	7.68719712871019	-2.89002022322447	-0.294273644267433	0.00493996876993651	0.0217063110325953
0.09	30.5786940019568	-0.748948900792125	689.668137374451	-58.2797238455215	7.5723244050674	-2.90792965650805	-0.315776596122959	0.00477042330921923	0.0216330703952085
0.1	30.5746387776882	-0.753418909981601	689.480670445376	-58.1742975722979	7.46955859865437	-2.9224765305173	-0.33476889592824	0.00462088500425312	0.0214912230172714
0.11	30.5821530288151	-0.781536433308841	689.166176155358	-58.0109699609796	7.37860521973514	-2.93366074511007	-0.351268855434421	0.00449077756418625	0.0212802955355346
0.12	30.601052851697	-0.832027701036975	688.739801687899	-57.7921412741437	7.29880305974697	-2.94159660769806	-0.36538190165722	0.00437889070839798	0.0210020807339637
