Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	1.02371096487597	0.85532636381939	679.636960987943	5.97815537253487	39.85864610995	0.306091233842098	-0.347225145842871	0.00218917487256609	-0.00544027433056621
0.02	1.05344057539512	1.00245395075453	680.276066063148	5.83418457625502	39.8991046203817	0.285536540023786	-0.335275205551133	0.00197236470122153	-0.0054325062036662
0.03	1.0804377882108	1.14290165813297	680.894578696631	5.69375536321306	39.9467894832533	0.266278445086533	-0.324273473056125	0.00176110987226041	-0.0054125868995632
0.04	1.10408645539011	1.27177554037645	681.477434929368	5.56026382488268	40.0058255275256	0.249197895676224	-0.314833501388763	0.00156067335779564	-0.00537338932084186
0.05	1.11962437972857	1.38724927547584	682.003874120507	5.43593062903831	40.0794440818485	0.234487911325161	-0.307088788748655	0.00137460625834585	-0.00530850664812582
0.06	1.11705801537981	1.49076295096004	682.444900216081	5.32127029536056	40.1701656487182	0.221588594977374	-0.300647526854151	0.00120398270730138	-0.00521172437088546
0.07	1.08198360887235	1.5860672988657	682.764021665406	5.21500528295074	40.27997629187	0.209386924882458	-0.294729900875001	0.00104726564645818	-0.00507681174762664
0.08	0.998181657185773	1.67746700645999	682.922015982239	5.1145848610738	40.410391980157	0.196619991825676	-0.288448168881828	0.000901030980800965	-0.00489786039577855
0.09	0.851387376644659	1.76790716673992	682.885392442324	5.01724337269973	40.5623243666028	0.182361853231985	-0.281152034679298	0.000761454762594593	-0.00467026956193006
0.1	0.633313560206973	1.85759256793859	682.636852006196	4.92128092254045	40.735721246133	0.166455754587469	-0.272748792342175	0.000626110409399527	-0.00439226138059406
0.11	0.344888694489183	1.94362515356524	682.184887970516	4.82709737416262	40.9290448629776	0.149769602799347	-0.26391285468465	0.000495410545007346	-0.00406656840406028
0.12	-0.00218301433463223	2.02077905765284	681.569305203024	4.73753898710305	41.1387425828004	0.134192632920167	-0.256116741532793	0.000373074465331413	-0.00370176481106177
0.13	-0.386047383117641	2.08314259139833	680.860164472155	4.65733128120291	41.3589189124591	0.122347621703601	-0.251446026094593	0.00026531161760579	-0.00331269689433539
0.14	-0.777481072086457	2.12607509538931	680.149348327983	4.59170045085511	41.5814042877266	0.117060325431392	-0.252207200571751	0.000178879604950666	-0.00291964239949244
0.15	-1.14425186524704	2.14783774650885	679.536067023365	4.54460671433869	41.796327160321	0.120696127316698	-0.26039611777505	0.000118627221815215	-0.00254615520874063
0.16	-1.45608996988666	2.15037577448223	679.109461798005	4.51719811670132	41.9931553542435	0.13452483448936	-0.277149384595317	8.53872782993204e-05	-0.00221593149868399
0.17	-1.68917760197431	2.13900512184933	678.932394011659	4.50705899656026	42.1620274090132	0.158286240215442	-0.302327905385651	7.50241400063745e-05	-0.00194933845376305
0.18	-1.8292399222028	2.12109843090079	679.030229801678	4.5085726211092	42.2950960914624	0.190087940713047	-0.33436211897789	7.90690020112672e-05	-0.00176037159755915
0.19	-1.87273083805658	2.10417125010095	679.387061255565	4.51433031600509	42.3875894695049	0.226678973897002	-0.370421876075257	8.68203015650382e-05	-0.00165470921925243
0.2	-1.82611385924646	2.09395201158156	679.949828066302	4.51714486629457	42.4383653101589	0.264035354533227	-0.406881369459532	8.82558735476602e-05	-0.00162924713990686
0.21	-1.70368044485427	2.09302437956703	680.638870773529	4.51200778905057	42.4498671481934	0.298104551468227	-0.439964581694445	7.68020037825723e-05	-0.00167312080457765
0.22	-1.52460051749656	2.10045088491655	681.362139779651	4.49735122130858	42.4275406734875	0.325517333592434	-0.466409763258402	5.10482211756313e-05	-0.00176987465927408
0.23	-1.30991361886336	2.11247091022417	682.029911843371	4.4752245728542	42.378890096282	0.344099084233243	-0.483996713148532	1.48660368650688e-05	-0.00190022061574957
0.24	-1.07998533863202	2.12401313708485	682.567372654982	4.45037583581846	42.3124126729913	0.353086224485257	-0.491831760333077	-2.40582540974588e-05	-0.00204478398128405
0.25	-0.852679662012391	2.13049448104888	682.923449693106	4.42859501861787	42.2366361594783	0.353046645294769	-0.490360271928205	-5.67374720805702e-05	-0.00218634853680771
0.26	-0.642258921116167	2.1292935691794	683.075341837696	4.41490204133157	42.1594138702268	0.345581576184728	-0.481147786358932	-7.55851427708398e-05	-0.00231131573634147
0.27	-0.458905842900329	2.12041987670545	683.028918541884	4.41217180565642	42.0875374656455	0.332925423122323	-0.466516604931079	-7.64370061969721e-05	-0.00241030351327542
0.28	-0.3087771247293	2.10619901262722	682.815452448698	4.42059342964336	42.0266436765426	0.317553621231237	-0.449135921694246	-5.93139470391746e-05	-0.00247796534869243
0.29	-0.194578445441167	2.09014627079814	682.485189029365	4.43803947877651	41.9813406608255	0.30186885870454	-0.431645482316443	-2.78190488700591e-05	-0.00251219175052825
0.3	-0.116691977641704	2.07547458037281	682.098361435397	4.46109576064932	41.9554638876704	0.287986134696299	-0.416359761462662	1.24600707722688e-05	-0.00251289015056261
0.31	-0.0748065679522204	2.06378510771548	681.71464880847	4.4862909925341	41.9523735046042	0.277599161140885	-0.405067519678718	5.58580620594329e-05	-0.00248057041579236
0.32	-0.0697893880998067	2.05439355900374	681.382703017945	4.51104143799101	41.9752050807306	0.271896610348236	-0.398920641777756	9.81198909054681e-05	-0.00241501746814576
0.33	-0.105278743037279	2.04450032105847	681.131903459381	4.53399025226429	42.0269778582148	0.271505225459063	-0.398398320435846	0.000136978372843766	-0.00231438930093314
0.34	-0.188315490298224	2.03011531223159	680.968504683124	4.5547041077364	42.1104649510244	0.27645621539295	-0.40333315675683	0.000171744735887658	-0.00217507588796151
0.35	-0.328406961833064	2.00740599148833	680.877538889873	4.57297320847182	42.227764915532	0.286187270891182	-0.412987680585228	0.000202260335444682	-0.00199252806977607
0.36	-0.534797520698862	1.97402608139054	680.830316296135	4.58812623741149	42.3795993043495	0.299595666385729	-0.426168907522076	0.000227815815541543	-0.00176300093478649
0.37	-0.812341398874746	1.93002443136532	680.795611586212	4.59874855735996	42.5644822127778	0.315148176579658	-0.441365559808245	0.000246627178051018	-0.00148581754917837
0.38	-1.1570433795682	1.87809327073459	680.751305601681	4.60299061761523	42.7780204892594	0.331038450492142	-0.456891514836738	0.000256175200726405	-0.00116547320357108
0.39	-1.55278376283112	1.82312378138217	680.692918243405	4.59936427414374	43.0126496201357	0.345371224117431	-0.471023098199271	0.000254292821038171	-0.000812802529252421
0.4	-1.9707349823317	1.77122283766587	680.636294985416	4.58767906271323	43.2580483615026	0.356350236458798	-0.482126089772118	0.000240516095906806	-0.000444599706740434
0.41	-2.37240421982709	1.72846007464128	680.6134256092	4.5696806987878	43.5023020712689	0.36245155258383	-0.488775973890419	0.000217065884350665	-8.14954898141207e-05
0.42	-2.71620333795459	1.69964549188638	680.662402092563	4.54906078787313	43.7336444451104	0.362570863352376	-0.489876753530836	0.000188964563513139	0.000255563559571736
0.43	-2.96625848918762	1.68739848545257	680.814226852281	4.53076092397011	43.9423801623117	0.356137360934151	-0.484777623713095	0.000163148785191858	0.000549394761095112
0.44	-3.10123651729674	1.69168499553389	681.080099593027	4.51978290371611	44.1224664328543	0.343186820397959	-0.473375960931739	0.000146853553474213	0.000790108772639353
0.45	-3.12064853409784	1.70989303196606	681.442765457271	4.51991670789206	44.2722735427041	0.324385251997543	-0.456185713181003	0.000145835822893514	0.000977043823759682
0.46	-3.0465661785092	1.7374035170913	681.854590702423	4.53283090960471	44.3942601861557	0.300995870063893	-0.434348174444345	0.000163061947889065	0.00111846152980583
0.47	-2.91985506022539	1.76850692222189	682.243501895836	4.55783174400459	44.493626615348	0.274787986191322	-0.409569217321427	0.000198294322305226	0.00122898663831494
0.48	-2.79154665955401	1.79743693285908	682.526102942025	4.59235064837705	44.5763342384835	0.247894915645359	-0.383980497149413	0.000248669209728658	0.00132542631156213
0.49	-2.71136066948169	1.81926731281891	682.625510760173	4.63296424267093	44.6470842226458	0.222634911709585	-0.359936472594727	0.00031000177109286	0.0014220764307819
0.5	-2.71622133251018	1.83046809795753	682.490075654782	4.67657769067441	44.7078538950158	0.201311260025013	-0.339769693921982	0.000378317015131024	0.00152676627925691
0.51	-2.82163932488766	1.82903818205486	682.108521404945	4.72136560051468	44.7573985517097	0.186005223581338	-0.325532181767909	0.000451060590567876	0.00163867421659297
0.52	-3.01807084907005	1.81428418182062	681.517422844772	4.76716562810917	44.7918125084695	0.178372202218829	-0.318752143724497	0.000527589166870901	0.00174844810463581
0.53	-3.27306871834486	1.78643686108424	680.798412441373	4.81521540973801	44.8059226154343	0.179451582535287	-0.320234593217635	0.000608811385559793	0.00184054761639307
0.54	-3.53859324164405	1.74632915023061	680.064848639656	4.8673454356077	44.7950682627697	0.189505890334043	-0.329931994183307	0.000696149659265788	0.00189717291391928
0.55	-3.76164726751745	1.69528634884548	679.440344935844	4.92491985746719	44.756763618561	0.207912439951174	-0.346905660778407	0.00079022547760299	0.00190279755352318
0.56	-3.89572615303796	1.6352357222262	679.033809122463	4.98790218962553	44.6918336341432	0.233135523579524	-0.369389325341702	0.000889769211253055	0.00184824671798933
0.57	-3.91054175074433	1.56890220886452	678.916778567182	5.05438963138242	44.6048035729038	0.262804806593866	-0.39495404920556	0.000991193069519669	0.00173343309735557
0.58	-3.79802122075601	1.49988936699428	679.108464089464	5.12081675318172	44.5035193182664	0.29391471418406	-0.420761397168683	0.00108905986611418	0.00156819719602702
0.59	-3.57349701486129	1.43248047546811	679.572095328541	5.1828161106756	44.3981170791849	0.323142224444422	-0.443882368572749	0.00117738790673938	0.00137109143280817
0.6	-3.27204545077296	1.37111238171703	680.22339795529	5.23650289315127	44.2995255428453	0.347259933778358	-0.46165348351464	0.00125144020718337	0.001166315025519
0.61	-2.94088086420151	1.31961712540844	680.949094694493	5.27979312463159	44.2176966340756	0.363600064196115	-0.472036287546321	0.00130944858287396	0.000979309621644942
0.62	-2.62942832214939	1.28043199161282	681.630990040555	5.31332559447959	44.1597708669925	0.370504890156346	-0.473939193827957	0.00135369221570059	0.000831758028160712
0.63	-2.3791075890211	1.25400855313905	682.170044525064	5.3406567723183	44.1284236516231	0.367682788591816	-0.467450789302391	0.00139050907343907	0.000736886689771676
0.64	-2.21492601390697	1.23860059647272	682.50509019172	5.36761041134529	44.1207018805673	0.356383164476365	-0.453926855766263	0.00142912765961345	0.000696027980385594
0.65	-2.14066904862671	1.23050379227294	682.62232980741	5.400924712684	44.1276949537682	0.339317118628124	-0.435879317455655	0.0014795729252145	0.000697296366568845
0.66	-2.13878894881115	1.22469541867068	682.554048283048	5.44656564188654	44.1353253123232	0.320291187188498	-0.416643215179893	0.0015502055098956	0.000716923588170049
0.67	-2.17509231301083	1.21571866476097	682.367453543111	5.50818957651736	44.1263513548367	0.303587082102939	-0.399848504793452	0.00164559354841465	0.000723282708026463
0.68	-2.20719776931245	1.19860046794217	682.146685274137	5.58620099236778	44.0833705856204	0.293195710731953	-0.388784816117838	0.00176533736886775	0.000682991805843136
0.69	-2.19476237974542	1.16959687393288	681.972356095308	5.67767049196616	43.992278045205	0.292072067546994	-0.385796020936788	0.00190418744897047	0.000567886831491837
0.7	-2.10896785465096	1.1266224759652	681.903295807861	5.77711326921908	43.8453967785577	0.301591172386639	-0.391852851080749	0.0020534025476	0.00036128577346467
0.71	-1.93892241356264	1.06932249028802	681.964446367134	5.8778672050479	43.6434628151828	0.321340084754848	-0.406413161806191	0.0022029189215117	6.19905576322299e-05
