Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	16.1375291202446	-11.354423185092	580.200326320558	-49.723689627927	-7.67593906639296	1.27468056821072	2.50759909401618	-0.0130163507841403	0.00278030358345344
0.02	16.2744741674615	-10.7713582663648	580.687543084756	-49.6138626926735	-7.66693050752147	1.18579098758309	2.43412653684643	-0.0129868923010803	0.00251577775040725
0.03	16.4104881525327	-10.1983189293865	581.161372515406	-49.5009008240086	-7.6581513298161	1.09841000835775	2.36181213872853	-0.0129589279807485	0.00225024901644529
0.04	16.5437645064191	-9.64520050560346	581.610602233077	-49.3845651582058	-7.64956622127115	1.01393852863168	2.29179510651464	-0.0129326217908938	0.00198489791910272
0.05	16.6724969374569	-9.12120531435478	582.024856806544	-49.2648423478764	-7.64106440160869	0.933678752853813	2.22513320654854	-0.0129079629780117	0.0017210694198901
0.06	16.7949164470144	-8.63450133551291	582.395059377327	-49.1420297427945	-7.63245594002946	0.858787777478108	2.16276488258202	-0.0128847535715938	0.00146036253470039
0.07	16.909331362093	-8.19193268804094	582.713823339496	-49.0168002895613	-7.62347386865822	0.790237443525363	2.10547674485405	-0.0128626078791704	0.00120469949069403
0.08	17.0141696935152	-7.79879560081591	582.975752773287	-48.8902409259634	-7.61378220813881	0.728782356210984	2.05387800883995	-0.0128409644801532	0.000956366014150903
0.09	17.1080224535113	-7.45868945917006	583.177636689839	-48.7638605106492	-7.60298940938733	0.674937601336557	2.00838311148583	-0.0128191100773184	0.000718017182952627
0.1	17.1896859856605	-7.17344794840585	583.318529222804	-48.639565765345	-7.59066615675964	0.628967219100888	1.96920330008784	-0.0127962134553713	0.000492646284359993
0.11	17.258200954943	-6.94315062755518	583.399715149037	-48.5196060999959	-7.57636603357999	0.590883951742357	1.93634750393613	-0.012771366848021	0.000283517043082007
0.12	17.3128854691047	-6.76621078090856	583.424567012051	-48.4064903645831	-7.559647263968	0.560460194200341	1.90963229662895	-0.0127436313272654	9.40622392904683e-05
0.13	17.3533598781314	-6.63953140639014	583.398306199908	-48.302880392094	-7.54009363856661	0.537249484252151	1.88870027311268	-0.0127120824693098	-7.22460014697668e-05
0.14	17.3795611215928	-6.55871794815866	583.327685230472	-48.2114675772815	-7.51733281007963	0.52061730934304	1.87304573155916	-0.0126758525530511	-0.000212047165863816
0.15	17.3917450339197	-6.5183340337631	583.220611974034	-48.1348396308782	-7.49105039364494	0.509779518538668	1.86204619092159	-0.0126341659041373	-0.000322256176203115
0.16	17.3904757249711	-6.51218512173582	583.085738475879	-48.0753450532739	-7.46099869824301	0.503846241459663	1.85499800732894	-0.0125863646695277	-0.000400230904385721
0.17	17.3766019629731	-6.5336146110984	582.932037434548	-48.0349628124336	-7.42699940867892	0.501868955776191	1.85115418579259	-0.0125319232234644	-0.000443933909840752
0.18	17.3512213273425	-6.57579754334667	582.768388364246	-48.0151842401936	-7.38894008643702	0.502888225523182	1.84976242113263	-0.0124704504733991	-0.00045207913279037
