Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	15.8478007041458	-2.64146325331924	581.561844277696	-23.5923593118434	-5.52728289249694	0.544770876529609	1.1625580388023	0.000755970805147638	0.00213184935216008
0.02	15.7781134759121	-2.76836263914645	582.010376027585	-23.5579700508035	-5.5681495374377	0.605956049183711	1.2181524209941	0.000693284879934674	0.00203873990263755
0.03	15.7120569265493	-2.89233858783601	582.469600198806	-23.5250440165204	-5.60951425200932	0.664998796886895	1.27179689877932	0.000630156943123836	0.00194707989201994
0.04	15.6520600390184	-3.01080434451188	582.941058118571	-23.4951909140064	-5.65138642915867	0.720339154775751	1.32209523135775	0.000566593677146333	0.00185952409955146
0.05	15.6002673025768	-3.12143308692503	583.425665979619	-23.4699764841758	-5.69375546901118	0.77057187444161	1.36779081966283	0.000502626924135849	0.00177869387791891
0.06	15.55841668062	-3.22226283188888	583.923396385215	-23.4508517816397	-5.73657274387547	0.814517272935864	1.40783055098158	0.000438337475274848	0.00170707986834066
0.07	15.5277454399401	-3.31177757352523	584.433028613062	-23.4390896138494	-5.77973739741601	0.851278613561721	1.44141673741407	0.0003738724705601	0.00164695345889711
0.08	15.508930079732	-3.38896004182214	584.951991289218	-23.4357313360579	-5.8230873848955	0.880282591426257	1.46804395889832	0.000309455040981954	0.00160028987970599
0.09	15.5020637057882	-3.45331382331934	585.476313294343	-23.4415462643864	-5.86639662653984	0.901300799768344	1.48751877358922	0.000245385678430798	0.00156870473123415
0.1	15.5066712171512	-3.50485500941875	586.00068966353	-23.457004967121	-5.90937857076953	0.914451431158127	1.4999615035511	0.000182035579469201	0.00155340483080563
0.11	15.5217598659009	-3.54407581361935	586.518659718441	-23.4822667138949	-5.95169590051542	0.920181807229189	1.50579053566421	0.000119832822208319	0.00155515359165308
0.12	15.5459003222263	-3.57188453820839	587.022885429705	-23.5171804828385	-5.99297560798815	0.919233536327623	1.50569070297994	5.9242681462738e-05	0.00157425071719097
0.13	15.5773314773783	-3.5895277266298	587.505509767781	-23.5612982091218	-6.03282824554935	0.912593096846954	1.50056825550449	7.43673126796587e-07	0.00161052575941718
0.14	15.614080940353	-3.5985012135782	587.958568212364	-23.6138984459225	-6.07086985710108	0.901431385285353	1.49149563860918	-5.51989332806084e-05	0.00166334499303327
0.15	15.6540925686133	-3.60045704018357	588.374422189056	-23.6740183194729	-6.1067449197404	0.887036226313948	1.47964974260206	-0.000108160357126928	0.00173163103190055
0.16	15.6953524062809	-3.59711285216312	588.746181361274	-23.7404915895691	-6.14014858336571	0.870742013942719	1.46624746207819	-0.00015778257461045	0.0018138946074903
0.17	15.7360050282773	-3.59016951284565	589.068082601266	-23.8119907509455	-6.17084658119179	0.853860554478221	1.45248232264429	-0.000203797996008153	0.00190827790138687
0.18	15.7744534134632	-3.58124135353597	589.33579705047	-23.8870713870291	-6.19869138323717	0.837616845618595	1.43946562627688	-0.000246049104693905	0.00201260875261777
0.19	15.8094369756006	-3.5718018969973	589.546642683078	-23.9642173611084	-6.22363345753272	0.82309299561568	1.42817507763586	-0.000284502828682712	0.00212446493422948
0.2	15.8400841341591	-3.56314619112944	589.699687721342	-24.0418858396235	-6.24572686477674	0.811182813010285	1.41941323177308	-0.00031925868094009	0.00224124750716116
0.21	15.8659376687746	-3.55636924783926	589.79573945347	-24.1185515266962	-6.26512881302586	0.802558834940149	1.4137774007195	-0.000350550014653658	0.0023602620104476
0.22	15.8869529376195	-3.55235865289341	589.837222687145	-24.1927497929303	-6.2820932102483	0.797652763385343	1.41164192241425	-0.00037873808855457	0.00247880593317493
0.23	15.9034707306954	-3.55179832563919	589.827961388449	-24.2631185616839	-6.29695864553749	0.796649492762361	1.41315297533701	-0.000404299015174876	0.00259426053551669
0.24	15.916167974504	-3.5551797536493	589.772885178056	-24.3284388458982	-6.31013157858033	0.79949418127055	1.41823545381465	-0.000427804056502593	0.00270418464937792
0.25	15.9259906308541	-3.56281685062025	589.677688545155	-24.3876737015278	-6.32206580002246	0.805911176463971	1.42661083175032	-0.000449894116923973	0.0028064076097555
0.26	15.9340738946356	-3.57486087996313	589.548474313642	-24.4400050942577	-6.33323942670427	0.815433077853609	1.43782445730373	-0.000471249639029545	0.00289911797633233
0.27	15.9416551773874	-3.59131259627467	589.391413686621	-24.4848677995122	-6.34413080582661	0.827437822060257	1.45128035049039	-0.000492557408371693	0.00298094424788475
0.28	15.9499853772167	-3.61202978436406	589.212452986503	-24.521979024254	-6.35519471823442	0.841191416643896	1.46628132517106	-0.000514475993773347	0.00305102341194723
0.29	15.9602436168854	-3.63672959065463	589.017092148512	-24.5513620177278	-6.36684019716775	0.855893827000901	1.4820721258706	-0.000537601669003325	0.00310905298180258
0.3	15.9734600353098	-3.6649862961171	588.810252525748	-24.5733615980989	-6.37941112512967	0.870725529836781	1.49788325304509	-0.000562436664890996	0.00315532222820306
0.31	15.9904504106655	-3.69622632229132	588.596242267398	-24.588649332283	-6.39317055315864	0.884892374599764	1.51297323920276	-0.00058936148303337	0.00319071868299256
0.32	16.0117654492821	-3.72972315464027	588.378817264233	-24.5982161270862	-6.40828942269023	0.897666624847884	1.52666732181987	-0.000618612769311926	0.00321670672610103
0.33	16.0376565669623	-3.76459540072005	588.161325359075	-24.6033502641654	-6.42484008136485	0.908422366050831	1.53839072494724	-0.000650267915484301	0.00323527618684578
0.34	16.0680589860303	-3.79981130455471	587.946912172146	-24.6055994592678	-6.4427946919477	0.916663844422921	1.54769509639067	-0.000684237158581708	0.00324886037760016
0.35	16.1025920300459	-3.83420269076597	587.738759419945	-24.6067163403622	-6.4620283579788	0.922045722012031	1.5542770369686	-0.000720263516269961	0.00326022477213682
0.36	16.1405756635564	-3.86649054006674	587.540321803747	-24.6085877830196	-6.48232654798061	0.924384675527353	1.55798808697736	-0.000757930469538294	0.00327232953870973
0.37	16.1810616270899	-3.89532327657883	587.355526989714	-24.6131497497372	-6.50339620505031	0.923662210148418	1.55883598544239	-0.000796676916610787	0.00328817119790446
0.38	16.2228769743024	-3.9193274913335	587.188905201304	-24.6222905632276	-6.52487978863638	0.92001898600379	1.55697747105068	-0.000835818599917831	0.00331061062908001
0.39	16.2646774325158	-3.93716937680311	587.045620484098	-24.6377467942469	-6.54637141332617	0.913741347085967	1.55270332920636	-0.000874574965248225	0.00334219631635621
0.4	16.3050077730506	-3.94762375835531	586.931384438591	-24.6609970452334	-6.56743422379318	0.905241085168158	1.54641678567168	-0.000912100249258413	0.00338499293072202
0.41	16.3423662793366	-3.94964643047794	586.852244483831	-24.6931597459394	-6.58761816980037	0.895029752360849	1.53860668195835	-0.000947517496748203	0.0034404259383344
0.42	16.3752704196682	-3.94244466978895	586.814251573047	-24.7349015428134	-6.60647741143119	0.883689045572176	1.5298171207621	-0.000979954163052027	0.00350915279725238
0.43	16.4023209468904	-3.92554040209215	586.823025584968	-24.7863628798979	-6.62358668188418	0.87183891752863	1.52061542443146	-0.001008577938243	0.00359097040168694
0.44	16.4222618394759	-3.8988206035385	586.88324910399	-24.8471068880779	-6.63855605214566	0.860105118461094	1.51156029419184	-0.00103263142216502	0.00368476676412852
0.45	16.4340337507271	-3.86257012468685	586.998130723143	-24.9160967141217	-6.65104366830541	0.849087839521089	1.50317198804427	-0.00105146427671881	0.0037885225674948
0.46	16.4368189330712	-3.81748320032234	587.168886222244	-24.9917049671324	-6.66076615947931	0.839333016136792	1.49590615445829	-0.00106456149215194	0.00389936531014322
0.47	16.430075945403	-3.76465136159953	587.394289094715	-25.0717571170281	-6.66750653567174	0.831307662756106	1.49013267916945	-0.00107156644824344	0.00401367549719201
0.48	16.4135628303496	-3.70552717797113	587.670340365405	-25.1536085655534	-6.67111950614535	0.825380358874714	1.48612054347437	-0.00107229755849801	0.00412724093107434
0.49	16.3873478651931	-3.64186507702915	587.990101317381	-25.2342528736077	-6.67153424771695	0.821807702135429	1.48402928073633	-0.00106675748527638	0.00423545187174526
0.5	16.3518074456485	-3.57564226259124	588.34372193896	-25.3104564366737	-6.6687547381872	0.820727202692197	1.48390718386447	-0.00105513422623966	0.00433352692215361
0.51	16.3076111544744	-3.50896432101311	588.718683369125	-25.378912925068	-6.66285784311	0.822156731436892	1.48569599206256	-0.00103779379942341	0.00441675717780184
0.52	16.2556945913468	-3.44396133709938	589.100255510254	-25.436409209821	-6.65398940492131	0.826000272257626	1.48924140004643	-0.00101526477412124	0.00448075465248367
0.53	16.1972210844714	-3.38268112897032	589.472152741878	-25.4799934158338	-6.64235863250136	0.832059385134303	1.49430841231706	-0.000988215462698673	0.00452169039259447
0.54	16.1335339482248	-3.32698649016002	589.817352929534	-25.5071352818192	-6.62823112644081	0.840049482063282	1.50060032704432	-0.000957425142233499	0.00453650808834084
0.55	16.0661014667999	-3.27846307593923	590.119029320022	-25.5158692145062	-6.61192089985822	0.849619769349084	1.50777998852084	-0.000923751145300919	0.00452310037326627
0.56	15.9964572363691	-3.23834381363329	590.361532950719	-25.5049113028784	-6.59378176520057	0.86037553259721	1.51549189557438	-0.000888093982705574	0.00448043728559806
0.57	15.9261388478948	-3.20745452005453	590.531356089113	-25.473743052993	-6.5741984523132	0.871901345629668	1.52338379018426	-0.000851362791169839	0.00440863938255282
0.58	15.8566280987891	-3.18618387514786	590.618005757433	-25.422656611046	-6.55357780047828	0.883783777418306	1.53112646494222	-0.000814443314939945	0.00430899152503456
0.59	15.7892959476423	-3.17447915762746	590.614720882208	-25.3527586157303	-6.5323403259215	0.895632252366913	1.53843070596515	-0.000778170339350464	0.00418389711364547
0.6	15.7253552454543	-3.17186733835155	590.518976793717	-25.2659323846793	-6.51091240640907	0.907096883550522	1.5450605144156	-0.000743306030100579	0.00403677626576201
0.61	15.6658238774366	-3.17749939510868	590.332735910566	-25.1647607032492	-6.48971924756724	0.917882335063376	1.55084201033633	-0.000710525047508462	0.00387191479246274
