Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	0.259728527668239	2.40987417309449	580.798244659271	-0.839960616555426	8.90398972180973	0.541648867834928	-0.578956290847992	-0.00689685193977163	-0.0188863379454186
0.02	0.500179438803456	2.18188840824718	580.32038023114	-0.843035814551876	8.97816117768438	0.60856626611138	-0.642973653458572	-0.0069018965094455	-0.0187417724535802
0.03	0.707630017216213	1.98301641002675	579.937220428575	-0.853059391169729	9.06253532929605	0.663795423471641	-0.695750069318508	-0.00691882668550492	-0.0185821444214171
0.04	0.851247095362083	1.83826839999459	579.736702666123	-0.874938154854005	9.16523918977599	0.698031042840504	-0.728354986016124	-0.00695601433632753	-0.0183956945250825
0.05	0.914278697844224	1.76247483728441	579.789901217821	-0.909433046207691	9.28839658361532	0.707272017136971	-0.736997495651815	-0.00701466566854148	-0.0181805785699762
0.06	0.898299664289814	1.75755587325934	580.144007571388	-0.952511395817802	9.42708771096879	0.693746640456229	-0.723910771670223	-0.00708769767235085	-0.0179465147778709
0.07	0.823519010177239	1.81249692311116	580.81505147827	-0.996176994709561	9.57022640172443	0.665166730234273	-0.696610957803722	-0.00716118151040868	-0.0177131154820192
0.08	0.725028535953806	1.90603689640053	581.781309341574	-1.03057186693032	9.70299520035344	0.632586195563124	-0.66580474410979	-0.00721799985013716	-0.0175055344791997
0.09	0.645714960943144	2.01144012012677	582.978785099571	-1.04680200624733	9.81015636054393	0.60750437051066	-0.642574051538596	-0.00724277100436188	-0.0173486238352796
0.1	0.627256434658478	2.10225616198012	584.300167873818	-1.03975593941198	9.87948599388829	0.599004717954449	-0.635609258381818	-0.00722677117185089	-0.0172609181763107
0.11	0.701007425301907	2.15780182969034	585.598547285875	-1.01018419932961	9.90469683420856	0.611637233053321	-0.64917798288331	-0.00717157870838581	-0.0172495693299103
0.12	0.880554889892857	2.16723840874553	586.69707578066	-0.965472397427854	9.88741385125012	0.644492672096879	-0.682259186106946	-0.00709044212337073	-0.0173070318219075
0.13	1.15734278073983	2.13148425839046	587.405585242255	-0.918826168186128	9.83795071825008	0.691576332408354	-0.72893863632615	-0.00700686242694393	-0.0174100060448964
0.14	1.5001629052222	2.06268029336575	587.544510294213	-0.886934228274853	9.77476271758144	0.743272566056708	-0.779853760649513	-0.00695048363862483	-0.0175209303740435
0.15	1.85867851972645	1.98140671163256	586.974960918926	-0.886521804308044	9.72254498397193	0.7884767347934	-0.824270038992251	-0.00695099527184728	-0.0175921147654088
0.16	2.17059302192384	1.91225863399447	585.631393181346	-0.930485286235623	9.70906371710123	0.816892482930402	-0.852299455240886	-0.00703125454877429	-0.0175723134415552
0.17	2.37159612881386	1.87867706627971	583.55061567889	-1.02444867630108	9.7610030598689	0.821036755284629	-0.856820565840499	-0.00720112235228731	-0.0174150712005309
0.18	2.40674939075706	1.89806088403525	580.888957452805	-1.16455609404285	9.89937909460527	0.797619608363415	-0.834785114580093	-0.00745348351272002	-0.0170875946624409
0.19	2.24150397264579	1.97812198570229	577.919581838235	-1.33709606913572	10.1353395003516	0.748119505892277	-0.787746268641937	-0.00776354892431774	-0.0165783842867864
0.2	1.87021301844006	2.11517806325345	575.004969961493	-1.52017365009554	10.4673057310625	0.678519264643725	-0.721580870969082	-0.00809185998977568	-0.0159016823862109
0.21	1.32005873607702	2.29464523743582	572.545310334315	-1.68718785128453	10.8803027802506	0.598286617161302	-0.645488085051987	-0.0083905788937686	-0.0150971679188628
0.22	0.648970327171517	2.49350236320437	570.910510460132	-1.81145080684637	11.3479136137492	0.518777020361952	-0.570433047289592	-0.00861186459012053	-0.0142243018981762
0.23	-0.0626491834259134	2.68410010208675	570.369547758732	-1.87101383788924	11.8366654107547	0.451310123907227	-0.507274850443098	-0.00871661907413646	-0.0133520881861196
0.24	-0.725051234703225	2.83851064287388	571.033630392794	-1.85271291007746	12.311988539885	0.405224144562231	-0.464873517428421	-0.00868177973575279	-0.0125463454800302
0.25	-1.25449984317482	2.93269428063046	572.827780616939	-1.75461343994378	12.7444168668966	0.386233498144829	-0.448498208837337	-0.00850464501546666	-0.0118574152785561
0.26	-1.58763978328451	2.95000749947419	575.499159255028	-1.58636482040419	13.1145974725013	0.395389084723145	-0.458839262754293	-0.00820334866477612	-0.0113112299266159
0.27	-1.69195557668351	2.8838219108244	578.661460326392	-1.3673831860187	13.4159953170784	0.428857419332922	-0.491844886857575	-0.0078133764012952	-0.0109058000548495
0.28	-1.57044222426803	2.73911174464935	581.865721733688	-1.12318704738724	13.6548059492408	0.478597986813623	-0.539460534232341	-0.00738078357474425	-0.0106137337780162
0.29	-1.25997536379277	2.5327677857076	584.681602428495	-0.880556099300637	13.8473119669501	0.533848576290193	-0.591167753599917	-0.00695340003433476	-0.010389852711682
0.3	-0.824109863717119	2.2922328229033	586.771284953073	-0.662427080368126	14.0155061976635	0.583160550295784	-0.636040255074396	-0.00657171677515467	-0.0101818050530601
0.31	-0.341870372977767	2.0520483984604	587.940903559318	-0.483544563427508	14.182101912364	0.616599738498323	-0.664905560235152	-0.00626127980917723	-0.0099410922151541
0.32	0.105502600766584	1.84823695822027	588.16058364351	-0.347812221996903	14.3660270575145	0.627677461156217	-0.672159976811647	-0.00602822591216978	-0.00963214944565666
0.33	0.447773448649058	1.71112665055701	587.551776489058	-0.248018277384286	14.5792352592054	0.614617242224231	-0.656849600946747	-0.00585906626193311	-0.00923784775980008
0.34	0.636839441234909	1.65804198314582	586.347495330164	-0.168150386269832	14.8252926727819	0.580690875473168	-0.622788141386877	-0.00572499859175757	-0.00876070954177072
0.35	0.653840012288251	1.6878632019641	584.835816398077	-0.0879368433689516	15.0998316927898	0.533545574477449	-0.577694551017774	-0.00559002881067894	-0.00821999307545473
0.36	0.510710596706942	1.77944604402989	583.299014750168	0.0113264250422653	15.39265767981	0.483650075873612	-0.53154608826143	-0.0054212127649339	-0.00764547107573704
0.37	0.245465320576254	1.89513104736892	581.960172719553	0.141027054510828	15.6910556152376	0.442166704154568	-0.494504107264361	-0.00519863839784307	-0.00706919649265886
0.38	-0.0882221642979127	1.98919363042797	580.946683339858	0.301055899724214	15.9836527934197	0.418672233048314	-0.474846632622976	-0.00492258964888692	-0.00651685447616807
0.39	-0.435056996165453	2.01950008812949	580.276480481289	0.478430732757921	16.2640555455506	0.419182919555671	-0.477324566594827	-0.00461579915169352	-0.00600044444006731
0.4	-0.75243535301253	1.9593813244995	579.868609795305	0.649339090104982	16.5334361878228	0.444885554005832	-0.502260527821172	-0.00431977637472747	-0.00551394982644149
0.41	-1.02121661098139	1.80629479997427	579.57532693063	0.784356068412812	16.8013658161772	0.491846980529015	-0.545556939423551	-0.00408567452807174	-0.00503322989824817
0.42	-1.24981612063846	1.58445444169038	579.228739817286	0.855710723035618	17.0845106527245	0.551788216935443	-0.599602096159671	-0.00396166684757748	-0.0045205578643942
0.43	-1.47024923475111	1.34016618824307	578.691770534991	0.844820400353926	17.4033066461921	0.613792960983276	-0.654886900569069	-0.00397991498900807	-0.00393312666711937
0.44	-1.7271309565279	1.13068484299834	577.901733966413	0.748098568756226	17.7772842408676	0.666610712978045	-0.701997467777041	-0.00414656686581683	-0.00323371193676947
0.45	-2.06283201584461	1.00937743679984	576.895845265137	0.579372382548457	18.2201576885958	0.701058011058092	-0.733557876176196	-0.0044376409846606	-0.00240088974863073
0.46	-2.50323410584155	1.01121040030841	575.811709999908	0.368069938979918	18.7359505673562	0.711964501187502	-0.74568959784509	-0.00480222761736426	-0.00143608788531674
0.47	-3.04835087005234	1.14265094804389	574.861745502522	0.153446363321101	19.3172107862367	0.69918611638047	-0.738645494794873	-0.00517252140606417	-0.000365445330059944
0.48	-3.67052944422858	1.37892008704159	574.287118646799	-0.0237984261402445	19.9458135743784	0.667415666858988	-0.716460112880737	-0.00547833146545207	0.000764177108679043
0.49	-4.32055887229428	1.66947825662701	574.302269701958	-0.130418647072702	20.5961266233932	0.624820005048896	-0.685698405254075	-0.00566244551690476	0.00189405804491394
0.5	-4.93961422276999	1.95028484440931	575.043692649341	-0.147777180314088	21.2396549704131	0.580844801445829	-0.65362106238771	-0.00569294157372779	0.00296500311878711
0.51	-5.47335471648247	2.15947059387165	576.535470566554	-0.0754498975047538	21.849911857503	0.543760578706332	-0.626247036780009	-0.00556933879475019	0.00392826512748407
0.52	-5.88413723874726	2.25217986255445	578.679465357688	0.0695768078813678	22.4062886359611	0.518601330750739	-0.606828487703779	-0.00532112926043748	0.00475327407541881
0.53	-6.15819180052741	2.21072389463021	581.271506570201	0.257802893248742	22.8960890273038	0.506039248753335	-0.595142423029582	-0.00499925690594349	0.00543051603193601
0.54	-6.30630049063124	2.04766512770137	584.038449419518	0.454836681671038	23.3144924944857	0.502474405392428	-0.587775057500644	-0.00466293185176492	0.00596935751795219
0.55	-6.35839563597295	1.80150878520981	586.686415954289	0.629718890012804	23.6628049662115	0.501277049587474	-0.579296794312134	-0.00436528488204968	0.00639197538172637
