Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	-2.74902904987564	1.60482278008985	605.646454766135	18.182871356657	58.3096221401749	0.350927133762674	-0.587977014046992	-0.00498721894055254	0.00596365729239412
0.02	-2.76367102185671	1.61740186296198	605.587976539649	18.2451701471204	58.175870907158	0.316479797822151	-0.555128761726674	-0.0048804244404157	0.00575530317189582
0.03	-2.76054369709549	1.61684477621488	605.511783914244	18.3159079901419	58.03097948119	0.286885989996597	-0.525350019094848	-0.00475906896230671	0.00553111882480861
0.04	-2.72665868259219	1.59422524126279	605.410314191211	18.4009295373749	57.8675107933778	0.265649265224301	-0.500903282732641	-0.00461333988347279	0.00527985278781357
0.05	-2.65623800033719	1.54573401055756	605.291798106662	18.5029697136354	57.6833687803373	0.254308564802622	-0.482792525544676	-0.00443926502422343	0.00499668942606935
0.06	-2.55195174766874	1.47308167991296	605.178421648484	18.6211402610236	57.4821833299413	0.25230012895209	-0.470701540963063	-0.00423944534827181	0.00468417612369759
0.07	-2.42398250349822	1.3823437221804	605.098108343527	18.7512317426552	57.272130824816	0.257440733665823	-0.463339132278928	-0.00402214400912615	0.00435153748427486
0.08	-2.28715243358403	1.28171709122875	605.073646949189	18.8867565501362	57.0637598324355	0.266809452473721	-0.459020044771339	-0.00379904240675843	0.0040127466717948
0.09	-2.15688490508197	1.17897466783404	605.113910291774	19.0204784447071	56.8675906915371	0.277690124050071	-0.456241918835243	-0.00358231682770349	0.00368389766595606
0.1	-2.04509989641933	1.07942316293479	605.210787774184	19.1460430989092	56.6921523725987	0.288261618487474	-0.454055312300344	-0.00338184421444365	0.00338042071489336
0.11	-1.95716419663297	0.984922627232018	605.34281531465	19.2592813223998	56.5428247987196	0.297857275400791	-0.452135448015055	-0.00320328067409947	0.00311460000938391
0.12	-1.89072535430882	0.894135502963068	605.483578957166	19.3588315503012	56.421522730883	0.30678883934419	-0.450592577563268	-0.00304748683384759	0.00289374947446747
0.13	-1.83673283211679	0.803791565650504	605.611080787	19.4459200946998	56.3270144086348	0.315873036986511	-0.449648597645539	-0.00291136650630297	0.002719290597336
0.14	-1.78233656409944	0.710497570647658	605.714154148809	19.5234014860886	56.2555754218448	0.325867891768862	-0.449333356063394	-0.00278975173171014	0.00258683882817118
0.15	-1.71482510637354	0.612532860536597	605.793627496416	19.5944120713241	56.2017247134893	0.337015478744244	-0.449319059734339	-0.00267764262917691	0.00248723485478575
0.16	-1.62547511504645	0.511135069859071	605.85842465525	19.6611312937401	56.1589122490639	0.348820943092643	-0.448941068691269	-0.00257200902197863	0.00240827806444582
0.17	-1.51221598250806	0.410939223738199	605.918974621749	19.7241100726412	56.1201478870453	0.360108278722573	-0.447379758258074	-0.00247253056361574	0.00233678194943321
0.18	-1.3803580331266	0.319435949068742	605.981229991948	19.782412623298	56.078619449693	0.369311550981568	-0.44392580910452	-0.00238104673704165	0.00226052432627977
0.19	-1.24118821611158	0.245528043359397	606.043951126436	19.8344992354554	56.0283280539144	0.374904015743225	-0.438232217084385	-0.0022999737969952	0.00216972881785971
0.2	-1.10884334424938	0.197472432189167	606.100130633164	19.879475574538	55.9646970662763	0.375842849455412	-0.430469904237055	-0.00223034470458605	0.00205786730814622
0.21	-0.996355555611465	0.180672905541373	606.14140894653	19.9181727549621	55.8850400364552	0.371911789970081	-0.421340336240224	-0.00217028522121643	0.00192176557028828
0.22	-0.911990995749179	0.195891545841415	606.162986831949	19.9535728230279	55.7887526914234	0.363872150355639	-0.411943638727788	-0.00211458655395846	0.0017611680571743
0.23	-0.856906431307953	0.238414857964093	606.166412482939	19.9903411382611	55.6771465636317	0.353377624595272	-0.403540020383908	-0.00205562520847846	0.00157802669564105
0.24	-0.824759264126165	0.298509806275356	606.158682320408	20.0335730464013	55.5529499444205	0.342662518560098	-0.397265912959859	-0.00198537161900825	0.00137579758184392
0.25	-0.803344896649901	0.363163392153144	606.147831279809	20.0871694061081	55.4196178232075	0.334067412245572	-0.393871309838748	-0.00189781880088236	0.00115895766744883
0.26	-0.777778497810211	0.418717704925655	606.136855552219	20.1524051176057	55.2806615949872	0.329509801557011	-0.393535186717667	-0.00179100584415826	0.000932813734642157
0.27	-0.734356587751767	0.453729628107008	606.118736368062	20.2271949385843	55.1391972368339	0.330028507446894	-0.395798464947641	-0.0016679580121407	0.000703513849308723
0.28	-0.664125817548554	0.461314121066308	606.075152454584	20.3063225057274	54.9978204247924	0.335520953975458	-0.39963385755505	-0.00153624568189348	0.000478047904352352
0.29	-0.565342307406107	0.440401893852182	605.980227619632	20.3825758977763	54.8587870074995	0.344750057318054	-0.403649979976027	-0.00140632646663597	0.000263995372988157
0.3	-0.444324905327746	0.395684774478324	605.808785682343	20.4484428630737	54.7243613107858	0.355630141335378	-0.406401372266528	-0.00128921023449946	6.88695046738297e-05
0.31	-0.314561711865778	0.336397828998286	605.546744967022	20.4978567301062	54.5971370657483	0.365725617633154	-0.406746512791485	-0.0011941539288316	-0.000100910101781815
0.32	-0.194234033110786	0.274360465218115	605.200168217897	20.5274948890815	54.4801535749678	0.372833807279455	-0.40416886481523	-0.00112701536568227	-0.000241186069407873
0.33	-0.102560706949352	0.22179472905421	604.799555482602	20.5372999147464	54.3767112749792	0.375494720299659	-0.398964550910377	-0.00108962323539041	-0.00035101774159596
0.34	-0.0555708949901901	0.18936621216566	604.397272927272	20.5301532800598	54.289904506177	0.373288006747751	-0.392218237172073	-0.00108016467806349	-0.000433074618831741
0.35	-0.0621026384391803	0.184721582600208	604.058131984576	20.5108929006323	54.2219965007141	0.366838649659854	-0.385541068527775	-0.00109427785105165	-0.000493263637533936
0.36	-0.120949855680575	0.211614425812701	603.845337500562	20.4850440678958	54.1738284246615	0.357540571623168	-0.380619624332458	-0.0011263637996064	-0.000539606185724684
0.37	-0.220032821667605	0.269583137990398	603.805547767446	20.457676007428	54.144460232442	0.347092659299575	-0.378696644504886	-0.0011706447952301	-0.000580599754428146
0.38	-0.338142519131427	0.354094795332397	603.957131445911	20.4326967581998	54.1311841499527	0.336995792406491	-0.380142490283972	-0.00122167862225375	-0.000623443879171071
0.39	-0.449199368630682	0.457082338347673	604.284793124211	20.4126977865878	54.1299488557217	0.328164132936837	-0.384261291922471	-0.00127431954059565	-0.000672541677867455
0.4	-0.528211897419399	0.567841530773107	604.741920124069	20.3992325684943	54.1361149010166	0.320758801398775	-0.389408551761431	-0.00132339111805335	-0.000728608667646014
0.41	-0.557479631255829	0.674277507590659	605.259895652793	20.3932482705612	54.1453650005886	0.314274274512925	-0.393399785324853	-0.00136349260561786	-0.000788564435034778
0.42	-0.531327847611862	0.764468176848568	605.761881173172	20.3953552500288	54.1545453466859	0.307825242553237	-0.394096863251024	-0.00138932150949633	-0.000846200899222049
0.43	-0.457943282924842	0.828434705641825	606.177660878253	20.4057339612433	54.1622297869313	0.300522446025904	-0.390002566707761	-0.00139665513688225	-0.000893460506515342
0.44	-0.35765215744226	0.859895748629463	606.456209994396	20.4236965225533	54.1688726174883	0.291808507851755	-0.380692708114054	-0.00138377771332743	-0.000922048250445062
0.45	-0.258005613056011	0.857674633210256	606.573524708501	20.4471421964193	54.1765258769396	0.281651261284647	-0.366966871938539	-0.00135282042183393	-0.000925052683973193
0.46	-0.186975771477029	0.826383517359844	606.534567616716	20.4722629807889	54.1882105299097	0.270548898069187	-0.35068328883116	-0.00131036031648546	-0.000898261508306297
0.47	-0.166114058553877	0.776073933807668	606.369545221544	20.4937997886894	54.2071139620826	0.259365387576294	-0.334331567976387	-0.001266791186323	-0.000840923397958271
0.48	-0.205517188293166	0.720734358318119	606.125848817581	20.5059333173967	54.2358151969057	0.24906363049172	-0.32046243297627	-0.00123439948984383	-0.000755824488234136
0.49	-0.301901897265935	0.675797589889916	605.857695954664	20.5036090491292	54.2757092332926	0.240424697155337	-0.31112083601269	-0.00122458987219398	-0.000648700280939885
0.5	-0.440183830737524	0.655112820454168	605.615745296359	20.4838750678011	54.3267277345779	0.233833956520028	-0.307416489024251	-0.0012450850089506	-0.000527159078224648
0.51	-0.59796231056233	0.668040109701772	605.438722928214	20.4467624088877	54.3873629076571	0.229188047286646	-0.309323584324872	-0.00129799421202437	-0.000399406197000185
0.52	-0.751521295367321	0.717360666552546	605.348451387667	20.3953890081924	54.4549251229472	0.225942165588582	-0.315743820920695	-0.00137935951530443	-0.000273088032730351
0.53	-0.881595386422738	0.798539662172676	605.34875546989	20.3352532301333	54.5259255723028	0.223283657927761	-0.324807713109352	-0.00148026466586726	-0.000154504296834224
0.54	-0.977318402623147	0.900565674416145	605.427762986058	20.272972428931	54.59648210823	0.220389568086331	-0.334339073683145	-0.00158905816106614	-4.82842081201973e-05
0.55	-1.0374097456704	1.00820570481173	605.56239855541	20.2148901072162	54.6626916042831	0.216704652066273	-0.342373739820152	-0.00169392065250473	4.25588157618173e-05
0.56	-1.0685519585128	1.10516033279531	605.723603856742	20.1659612399676	54.7209723232725	0.212165432032067	-0.347611106376411	-0.00178501346343674	0.000116417998612062
0.57	-1.08177984611184	1.17737609792161	605.881069409234	20.1291585317034	54.7684227266487	0.20729978635673	-0.349689350747743	-0.00185573431160935	0.000172986949374399
0.58	-1.08825784488347	1.21573815252186	606.006882108065	20.1054181818873	54.8032409241273	0.203154569483086	-0.349213344927874	-0.00190301267384663	0.000213417301322238
0.59	-1.09589394968598	1.21754378086573	606.078167761469	20.0939676156097	54.8251929211922	0.201045778514898	-0.347524169222726	-0.0019269083931327	0.000240707261335571
0.6	-1.10781547398802	1.1865035039846	606.079204913539	20.0928116582859	54.8360284260291	0.202179269499098	-0.346269330404395	-0.00192991114194896	0.00026008043561554
0.61	-1.12297346285048	1.13142926625343	606.003420524909	20.0991951184653	54.8396662874517	0.207239364721185	-0.346893895252354	-0.00191626851788851	0.000278997217790455
0.62	-1.13832654071812	1.06411413251651	605.855218524251	20.1099578911928	54.8419603432139	0.216068332177792	-0.350202359699171	-0.00189148397832495	0.000306491730995229
0.63	-1.15148416311975	0.997065541268531	605.651030387863	20.121791931483	54.8499419042035	0.227546664890502	-0.356123391675604	-0.0018619401380906	0.000351754091999945
0.64	-1.16258169574017	0.941671133400473	605.418672402165	20.1314578866598	54.8706045492065	0.239730787692765	-0.363745363133054	-0.00183450413958497	0.000422205393274477
0.65	-1.17456065538502	0.907095167764163	605.194282389192	20.1360158667957	54.9094906514998	0.250226594863315	-0.371600394686814	-0.00181598494731861	0.000521606664176
0.66	-1.19178005261082	0.899852677990884	605.016776173475	20.1330870777948	54.9694727210266	0.256701158328437	-0.378091890737924	-0.00181240904203428	0.000648864889933098
0.67	-1.21767997672405	0.923748384821235	604.920656461185	20.1211163005006	55.0501260961179	0.257388557499556	-0.381917041148947	-0.00182820578041254	0.000798070611735646
0.68	-1.25271183225284	0.979816118038921	604.928752890026	20.0995712815981	55.1479427362342	0.251445663916477	-0.382347428439653	-0.0018654905874399	0.000959945256684636
0.69	-1.29370468809578	1.06606734163502	605.046753162724	20.0690078295573	55.257382059596	0.239059669413859	-0.379291114225811	-0.00192366272199984	0.00112441195867646
0.7	-1.33523861158639	1.1771538902649	605.261065287571	20.0309534435088	55.3724834845634	0.221285393309452	-0.373143013179042	-0.00199947894782937	0.00128360063691302
0.71	-1.37267635795718	1.30430068489677	605.540717325429	19.9876113751322	55.4885745601916	0.199672101688669	-0.364504457020709	-0.00208763957998015	0.00143440626296454
0.72	-1.4056621121618	1.43591578789771	605.842919769323	19.9414436700737	55.6035655016227	0.175801444645939	-0.353891519099491	-0.002181771972533	0.00157981011177899
0.73	-1.440522283084	1.55908287796337	606.120935339683	19.8947328933796	55.718439211987	0.150882152498426	-0.341544832415826	-0.00227557544953771	0.00172851735629997
0.74	-1.49030041165141	1.66176395850453	606.332339023318	19.8492301611934	55.8367855368703	0.125527259658861	-0.327409055280177	-0.00236384757987407	0.00189294634242093
0.75	-1.57203084783701	1.73516681423293	606.445789198636	19.8059688186541	55.9635138060904	0.0997824421441996	-0.311287606732595	-0.00244315951230711	0.00208607220723928
0.76	-1.70194445573402	1.77555305849642	606.445045131896	19.7652713866448	56.1031224629284	0.0733959962543859	-0.293119813923815	-0.00251206576704543	0.00231794104096533
0.77	-1.89014374165936	1.78488245521608	606.329922836644	19.7269226437411	56.2580365678248	0.0462434201833725	-0.273288877052377	-0.00257087538127554	0.00259274666821252
0.78	-2.13653465835185	1.77006893606604	606.114808934328	19.6904416101411	56.4275040263219	0.0187636731329505	-0.252856180972264	-0.00262112753443555	0.00290719182983518
0.79	-2.42937156975027	1.74110044089259	605.825881924919	19.6553690455833	56.6073742731959	-0.00775320866887592	-0.233629508698314	-0.00266497046331582	0.00325050242607983
0.8	-2.74686157025794	1.70864281150746	605.498115595382	19.6214955495851	56.7908174197253	-0.0311573246094588	-0.218006475503311	-0.00270462509819447	0.00360603820195166
0.81	-3.06126678165363	1.68185962872737	605.172527050826	19.5889826461538	56.9697570228487	-0.0487634499732475	-0.208587086480031	-0.00274203728616607	0.0039540657602507
0.82	-3.34422540102755	1.667010972908	604.893319773433	19.558365295259	57.1365726698116	-0.0579578680111924	-0.207615587163832	-0.00277871928997142	0.00427502158682191
0.83	-3.5718135596485	1.66704412503257	604.704029432244	19.5304576106969	57.2855475050709	-0.0569304665337591	-0.216379052071183	-0.00281569671752158	0.0045525349284975
0.84	-3.72818346709776	1.68202180238136	604.641882336046	19.5062048777225	57.4136191237151	-0.0453059601949964	-0.23473591519487	-0.00285344695069722	0.0047755941117269
0.85	-3.80722858859777	1.70999394085078	604.730400699887	19.4865301221972	57.5202198024391	-0.0244487144088963	-0.260945472985755	-0.00289175078607751	0.00493948260133675
0.86	-3.81235103496136	1.74787415533471	604.971538172433	19.4722141320815	57.6062980336381	0.00270133800046328	-0.291903094182848	-0.00292946187431598	0.00504542194381286
0.87	-3.75480938858997	1.79200929631108	605.339733524727	19.4638297177861	57.672900621464	0.0322576239056865	-0.323764574024795	-0.00296428850249741	0.00509916595744625
0.88	-3.65123356230235	1.83834972602311	605.780631088418	19.4617315245529	57.7198614669081	0.0603155972574691	-0.352805988129893	-0.00299273464335226	0.00510901776925193
0.89	-3.52079240891263	1.88234603752741	606.216487195836	19.4660886897494	57.7451198950005	0.0839027011885807	-0.376268879139614	-0.00301033177419419	0.0050838247666366
0.9	-3.38235149044235	1.91884043621471	606.558557355664	19.4769431369519	57.7449737271763	0.101653828825943	-0.39293137214551	-0.00301220778290412	0.00503142185446126
0.91	-3.25188976093958	1.94224342229395	606.724570055538	19.4942808533593	57.7152324674373	0.11400614937428	-0.403234980659685	-0.00299391343574662	0.00495777531183805
0.92	-3.14047394249824	1.94717785371459	606.657501535688	19.5181119834764	57.6528989456491	0.122870697313633	-0.408950969591213	-0.00295230984265049	0.00486681530388933
0.93	-3.05313268538618	1.92956143490801	606.340956536672	19.5485606123294	57.557800215636	0.130912322520869	-0.412525906393444	-0.00288626144609538	0.00476073806459532
0.94	-2.98891012318891	1.88785589961779	605.806882216379	19.5859610956546	57.4335854730577	0.140689077778555	-0.416340797198045	-0.00279690683111922	0.00464048028096392
0.95	-2.94214751788286	1.82403540880857	605.133009544224	19.6309443604859	57.2877052832987	0.153926835445197	-0.422119082093427	-0.00268739058464029	0.00450612586324373
0.96	-2.90468996722437	1.74380857078426	604.429872677275	19.6844807122592	57.1303058147275	0.17113448793045	-0.43063531791495	-0.00256209956011011	0.00435714551202493
0.97	-2.86838634766245	1.65580590401861	603.819844315218	19.7478356293546	56.9723022805959	0.191634512186218	-0.441751779875857	-0.00242560399159875	0.00419251147122496
0.98	-2.82711153935628	1.56977539535129	603.412672415077	19.8224018606379	56.8231346018321	0.213944997081907	-0.454697956732103	-0.00228160500030705	0.00401080867556514
0.99	-2.77768915901361	1.4941995700577	603.282986644539	19.9093991959835	56.688793469884	0.236349294202703	-0.468447469971573	-0.00213219923042762	0.00381045773030203
1	-2.71950127772811	1.43401597859061	603.454900173587	20.0094771880549	56.5706264548344	0.257454135202807	-0.482050004172128	-0.0019776826768505	0.00359009718226477
1.01	-2.65308570469352	1.38917579136217	603.897227349535	20.1223009996908	56.4652260948184	0.276566945809727	-0.494827436721694	-0.00181695647025404	0.00334908718786386
1.02	-2.57842954762062	1.35457469501715	604.530354766881	20.2462276600652	56.3654270921659	0.293799060700825	-0.506413983670372	-0.00164841872934351	0.00308803428812215
1.03	-2.49379363270148	1.32149137001702	605.243065152114	20.378175795564	56.2621688000343	0.30989501740424	-0.516680598035663	-0.00147108449051714	0.00280921607405266
1.04	-2.39568320993175	1.28019869955908	605.915326500017	20.5137555351103	56.1467760259345	0.325870757269509	-0.525615526368826	-0.00128561000925942	0.00251680024436862
1.05	-2.28009486350504	1.22302413935792	606.441816175365	20.6476691151234	56.0131204548707	0.342593952860609	-0.533231187742801	-0.00109492064599515	0.00221678745688692
1.06	-2.14460742717099	1.14695443660343	606.7510524928	20.7743349650806	55.8591638407163	0.360446759170908	-0.539539268761924	-0.000904239904348958	0.0019166453314225
1.07	-1.9904728513511	1.05496864113985	606.816366060419	20.8886430681772	55.6875389987019	0.379175711776949	-0.544595030449683	-0.000720463076383182	0.00162463644565719
1.08	-1.823776536894	0.955626299192743	606.657108851673	20.986722273794	55.5050549627335	0.397967282520008	-0.548574580936937	-0.000550979911345117	0.00134888193378846
1.09	-1.65502732918178	0.860945017237257	606.330814964992	21.0665891691487	55.3212614992665	0.415711610490949	-0.551829495600798	-0.000402194523021926	0.00109625366716376
