Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	28.2346139716928	1.84398278258763	819.640458577918	-59.9753134316284	4.06504896336363	-6.84968438306834	-4.79270102920704	-0.00399941616411812	0.0158634067224206
0.02	28.161270596776	1.31550609712997	820.55206913261	-60.0181070146935	4.10721506608383	-6.77865152628673	-4.72518868451356	-0.00395011153696797	0.0158323094704502
0.03	28.0866174191659	0.798454188237324	821.452555988718	-60.0654987067676	4.15048165322608	-6.70856486404159	-4.6585730018699	-0.00389986482016538	0.0158065737258218
0.04	28.0102205763231	0.303923733676021	822.332066861529	-60.1199037464499	4.19561990544956	-6.64038526261389	-4.59379588211666	-0.00384767841916448	0.015790089238728
0.05	27.9316324558198	-0.157593349303164	823.181889607386	-60.1835765237503	4.24341037718752	-6.57499411070491	-4.53172643996569	-0.00379253004695299	0.0157864904527554
0.06	27.8504438300473	-0.576628635486919	823.994685680374	-60.2584410560193	4.29458807044638	-6.51316406370542	-4.47313272119058	-0.00373344323527939	0.0157989202557012
0.07	27.7663350553481	-0.945108215858857	824.764648406124	-60.3459347103444	4.34979063445574	-6.45553488498102	-4.41865831276599	-0.00366955438759168	0.015829815798849
0.08	27.6791229294843	-1.25665835304157	825.487577289999	-60.4468743528458	4.40951274486604	-6.4025954025732	-4.36880469120583	-0.00360017238736559	0.015880728905214
0.09	27.5888001489091	-1.5068322684621	826.160863441096	-60.5613523489729	4.47406905608882	-6.35467225934199	-4.3239198181042	-0.0035248276090128	0.0159521909955874
0.1	27.4955648186806	-1.69324929413479	826.783385914415	-60.6886678144858	4.54356738903363	-6.31192576319634	-4.28419316489217	-0.00344330809644616	0.0160436294899978
0.11	27.3998381105566	-1.81564258342794	827.355324166164	-60.8272963942511	4.61789308137806	-6.27435276693817	-4.24965705061815	-0.00335568159253163	0.0161533395202967
0.12	27.3022689023732	-1.87581644116723	827.877897552738	-60.9748997623788	4.69670474043985	-6.24179614926938	-4.22019391873585	-0.00326230296171471	0.0162785117069598
0.13	27.2037250229772	-1.87751881805613	828.353048447434	-61.1283740949063	4.77944103565209	-6.21396015184804	-4.19554896562844	-0.00316380731147696	0.0164153138600255
0.14	27.1052715262311	-1.82623838659148	828.783090602622	-61.2839350339376	4.86533766955886	-6.19043056960793	-4.17534736359373	-0.0030610897679362	0.0165590218732243
0.15	27.0081371771884	-1.7289387090702	829.170348338489	-61.437235178864	4.95345328108589	-6.17069860494331	-4.1591151900284	-0.00295527339206987	0.0167041928722734
0.16	26.9136710066077	-1.59374422478112	829.516814520977	-61.5835089212812	5.04270276011815	-6.15418708685547	-4.14630307801554	-0.00284766713873023	0.0168448719069128
0.17	26.8232913345109	-1.42959409067001	829.823855718927	-61.7177384840742	5.13189627825565	-6.14027772397788	-4.13631153854031	-0.00273971606696476	0.0169748221745355
0.18	26.7384300460494	-1.24588033365705	830.091991155903	-61.8348343212556	5.21978225283001	-6.12833810063655	-4.12851687096675	-0.00263294621311988	0.0170877679479119
0.19	26.6604751019004	-1.05208638683539	830.320768018701	-61.9298225704418	5.30509244416595	-6.11774722877012	-4.12229657876675	-0.00252890664194194	0.0171776390540972
0.2	26.5907142729793	-0.857440994027274	830.508749468854	-61.9980320140456	5.38658742482838	-6.10791862378723	-4.11705324614099	-0.00242911119770504	0.0172388059081531
0.21	26.5302829121405	-0.670600806945899	830.653623643283	-62.0352729941714	5.46310074186641	-6.09832006583622	-4.11223591260537	-0.00233498238893575	0.0172662947245958
0.22	26.4801182341936	-0.499372904790621	830.752432533592	-62.038000942643	5.53358020992149	-6.08848942563922	-4.10735810959743	-0.00224779965944751	0.017255973580425
0.23	26.4409221020746	-0.350486074431494	830.801909569351	-62.0034576400492	5.59712491914014	-6.07804616267874	-4.10201189498617	-0.00216865403115361	0.0172047014424293
0.24	26.413133751978	-0.229417128368186	830.79890478291	-61.9297840168403	5.65301671480368	-6.06669833107496	-4.09587743271119	-0.00209841076106831	0.0171104340409822
