Time [s]	GRFml [N]	GRFap [N]	GRFv [N]	Mml [N.m]	Map [N.m]	Mv [N.m]	Mfree [N.m]	COPml [m]	COPap [m]
0.01	6.74490940858136	8.50555741360424	542.215341909309	-47.5571139352702	-1.33505527289026	-0.35105420982526	0.26146089848483	0.00320956074151016	0.00963383181126427
0.02	7.10094829682891	7.94789976382155	542.220130905768	-47.5995072536227	-1.36985094382757	-0.305139137375271	0.338315145516344	0.00314456087194858	0.00971809567268964
0.03	7.44724004820806	7.39923819217993	542.225625037387	-47.6380362311302	-1.4029504888772	-0.259789645834112	0.413680557403207	0.00308263110675032	0.00979509785973995
0.04	7.7758978672257	6.86913328470127	542.231289430991	-47.6711085077054	-1.43329873481865	-0.215689139704804	0.486166639867819	0.00302570360373313	0.00986194062486138
0.05	8.07966477081624	6.36650298806983	542.235599567271	-47.6973373092105	-1.45997075505003	-0.173487893950992	0.55447646093683	0.00297546472846776	0.00991626445536259
0.06	8.35223707743194	5.89929838523496	542.23602478294	-47.715636060712	-1.48222437456477	-0.133782802206708	0.617457205292944	0.00293325953636373	0.00995642658346499
0.07	8.58853639680306	5.47423219099229	542.229131536319	-47.7253027584124	-1.49954110801665	-0.097098993500971	0.674143884357439	0.00290001847231436	0.00998164155732388
0.08	8.78491508145178	5.09657251598004	542.210809243556	-47.726088482038	-1.51165275767726	-0.0638739851700066	0.723793980343519	0.00287621112942297	0.00999207298549863
0.09	8.93928466098461	4.77000989271326	542.176608373683	-47.7182449449277	-1.51855200694495	-0.0344449463612122	0.765911364103132	0.00286182976296094	0.00998886854685527
0.1	9.05116185315311	4.49660072328284	542.122167699152	-47.7025468258112	-1.52048653806229	-0.00903952622378801	0.800258495367712	0.00285640301928012	0.00997413390696443
0.11	9.12163195112226	4.27678557792046	542.043696438706	-47.6802857899981	-1.51793738246461	0.0122294409612166	0.826856635373198	0.00285903819983347	0.00995084509190337
0.12	9.15323436531494	4.10947648744099	541.938468651506	-47.6532345522333	-1.51158329137167	0.0293651969935632	0.845974515098438	0.00286848849214812	0.0099227029105849
0.13	9.1497795341337	3.99220380592066	541.805282554511	-47.6235809991237	-1.5022538198533	0.0424842910875508	0.858106548090996	0.00288324007576562	0.00989393693837627
0.14	9.11611005403204	3.92131056684627	541.644837032103	-47.5938341930243	-1.49087449433493	0.0518099420807664	0.863942204957538	0.00290161292156749	0.00986907011878477
0.15	9.05782153094637	3.89218062139202	541.459981709068	-47.5667059185961	-1.4784078459076	0.0576618382596541	0.864328542617838	0.00292186847681981	0.00985265795195077
0.16	8.98096021555472	3.89948624801532	541.25580538498	-47.544973189981	-1.46579422515135	0.0604428104951455	0.860228090568917	0.00294231726152033	0.00984901828904503
0.17	8.89171492685806	3.9374412942659	541.0395398008	-47.5313286854551	-1.45389617406132	0.0606229217814246	0.852674344036679	0.00296141966568722	0.009861968758842
0.18	8.79612013917831	4.00004712392975	540.820270686052	-47.5282272942851	-1.44344974130063	0.0587215990623974	0.842727022461993	0.0029778738880422	0.00989458870555862
0.19	8.69978551871728	4.0813205158885	540.608464585518	-47.5377377363996	-1.43502552845418	0.0552884896431534	0.831429054906675	0.00299068594107676	0.00994902119220772
0.2	8.60766481110781	4.17549498687099	540.415336665983	-47.5614084610212	-1.42900149947986	0.050883753832929	0.819766989063772	0.00299921790663707	0.010026328194789
0.21	8.52387400135557	4.27718957102154	540.252100066612	-47.6001566890223	-1.42554873332138	0.0460585079694539	0.808636221587443	0.00300321209387785	0.0101264087480178
0.22	8.45156531313489	4.38154167649675	540.129149957669	-47.6541885178882	-1.42463041418588	0.0413361086134778	0.798812139648503	0.00300279035131797	0.0102479857524228
0.23	8.39286011104796	4.48430306916799	540.055244087216	-47.7229564835778	-1.42601349757457	0.0371949211401211	0.790927961079664	0.00299842942625131	0.0103886627218577
0.24	8.34884033265615	4.58190015783572	540.036745316517	-47.8051589403847	-1.42929171952177	0.0340531465057262	0.785459767035419	0.00299091484206224	0.0105450472716774
0.25	8.31959489989058	4.67146146894926	540.076989973437	-47.8987831899008	-1.43391797910609	0.0322561915989331	0.782718933814637	0.00298127715971458	0.0107129339448073
0.26	8.30431480283827	4.75081644211255	540.17583875423	-48.0011916105114	-1.43924365540588	0.0320669648936543	0.782851884582486	0.00297071558519777	0.0108875353304792
0.27	8.30142833530135	4.8184704354661	540.329454819885	-48.1092472825732	-1.4445621408198	0.033659364293355	0.785846795382265	0.00296051457592865	0.0110637475710429
0.28	8.30876637152547	4.8735611269169	540.530337551229	-48.2194729584794	-1.44915378928235	0.0371151027427176	0.791546607696405	0.00295195931487082	0.0112364344235164
0.29	8.32374664563662	4.91580139011916	540.767621407488	-48.3282348784056	-1.45232958205284	0.0424238943251852	0.799667434197394	0.00294625563965304	0.0114007131153974
0.3	8.34356572860496	4.94541329345395	541.027629000979	-48.4319410549446	-1.45347108408404	0.0494869041557991	0.809821213909891	0.00294445927226547	0.0115522253107807
0.31	8.36538775595645	4.96305720992722	541.294647513568	-48.5272423889165	-1.45206466856478	0.0581232541797875	0.821541299545024	0.00294741808772277	0.0116873775291932
0.32	8.38651987786655	4.96975923368749	541.551879584453	-48.6112244408911	-1.44772848682074	0.0680792782179909	0.834309563595615	0.00295572982723827	0.0118035372401872
0.33	8.40456579401771	4.96683926776527	541.782505285656	-48.6815779265321	-1.4402312123885	0.0790401366291698	0.847583605173983	0.00296971626595758	0.0118991734659497
0.34	8.41755049499432	4.95584135892862	541.970781980971	-48.7367370329736	-1.42950214879651	0.0906433360464385	0.860822731079873	0.00298941354686282	0.0119739339138393
0.35	8.42401134647261	4.93846717389292	542.103104561435	-48.7759764168873	-1.41563282088267	0.10249365378957	0.873511565102925	0.00301457732237236	0.0120286542641058
0.36	8.42305280413143	4.916512981824	542.168950138498	-48.7994601389537	-1.39887063614837	0.114178939495557	0.885180390612149	0.00304470058783436	0.012065299071893
0.37	8.41436421867137	4.89181015630996	542.161638647363	-48.8082386646028	-1.37960558086441	0.125286256897676	0.895421625645801	0.00307904167556602	0.0120868376100783
0.38	8.39820226903731	4.8661690415812	542.078853392128	-48.8041932323121	-1.3583511901012	0.135417834407656	0.903902134773089	0.00311665978018206	0.0120970616752992
0.39	8.37534144418408	4.84132603118446	541.922882361653	-48.7899301512672	-1.33572119596856	0.1442063117738	0.910371365979816	0.00315645553969113	0.0121003556986313
0.4	8.34699758843812	4.81889385637234	541.700560843454	-48.7686307249707	-1.31240331758294	0.151328799285726	0.914665536951293	0.00319721451156166	0.0121014322515388
0.41	8.31473075793407	4.80031533856964	541.42291693187	-48.7438652990942	-1.28913162073643	0.156519303995443	0.916708265704987	0.00323765176261148	0.0121050480484607
0.42	8.28033445074077	4.7868211800084	541.104542352037	-48.7193822151685	-1.26665876175872	0.159579123259858	0.916508139103697	0.00327645615240814	0.0121157166890792
0.43	8.24571863888866	4.77939269948289	540.762730038287	-48.6988840661389	-1.24572925900844	0.160384859519029	0.914153744110261	0.00331233317381085	0.0121374345745193
0.44	8.21279393932879	4.7787307163792	540.416435725303	-48.685804490032	-1.22705472848881	0.158893772318403	0.909806664636032	0.00334404539606333	0.0121734356488246
0.45	8.18336373187538	4.78523199935594	540.085132325853	-48.6830987507829	-1.21129179821256	0.155146255307066	0.903692890972804	0.00337044964317339	0.0122259888990291
0.46	8.15903011046916	4.79897478698723	539.787632334277	-48.6930605427535	-1.19902319770835	0.149265308369075	0.896093019855151	0.00339053006744336	0.0122962499959591
0.47	8.14111830907941	4.81971482724484	539.540954572054	-48.7171758743433	-1.19074231941067	0.141452968575411	0.887331559170054	0.00340342629419119	0.0123841752338353
0.48	8.13062276555684	4.84689315469513	539.359307360029	-48.7560226430489	-1.18684137822324	0.131983767446512	0.877765604407003	0.00340845586891939	0.0124885022385201
0.49	8.1281763816683	4.87965642728915	539.253251134682	-48.8092217581021	-1.18760316032927	0.121195393596571	0.867773129098163	0.00340513036943873	0.0126067980040707
0.5	8.134042919858	4.91689009287278	539.229090435221	-48.8754425773905	-1.19319625397073	0.109476854870676	0.85774112681484	0.00339316476663454	0.0127355709418858
0.51	8.14813096163953	4.9572639787031	539.288529146193	-48.9524622013785	-1.20367359115074	0.0972545465907027	0.848053850755995	0.00337247991559388	0.012870440036258
0.52	8.17002654465731	4.99928913892899	539.428605122324	-49.037275011855	-1.2189740945511	0.0849767353048873	0.839081409182928	0.00334319839697847	0.0130063511172231
0.53	8.19904058326725	5.04138401001743	539.641902145208	-49.1262459526444	-1.23892721060573	0.0730970528369947	0.831168981938875	0.00330563425616926	0.0131378278635541
0.54	8.23426652334641	5.08194717476816	539.917019821567	-49.2152985968684	-1.26326010847023	0.0620576562221805	0.824626918718166	0.00326027745358625	0.0132592435554392
0.55	8.27464341726554	5.11943338692477	540.239266655717	-49.3001271728068	-1.29160732607081	0.0522727393742189	0.819721961120769	0.00320777400518974	0.0133650988647051
0.56	8.31901972721265	5.15242902305377	540.591529035165	-49.3764205293433	-1.32352263967546	0.0441130781987126	0.816669799143697	0.00314890284128628	0.0134502910961138
0.57	8.36621363908165	5.17972286094778	540.955259922158	-49.4400855680214	-1.35849291536472	0.0378922510935864	0.81562913267315	0.00308455035389349	0.0135103612181827
0.58	8.41506643080446	5.20036807564444	541.311526024695	-49.4874579594663	-1.39595366482062	0.0338551029304153	0.816697364945142	0.00301568346994332	0.0135417066454181
0.59	8.46448640222328	5.21373161858982	541.642051218384	-49.5154889579605	-1.43530597268822	0.0321689169770637	0.819908012525219	0.0029433219250907	0.0135417499247742
0.6	8.51348193933853	5.21952770433492	541.930196824245	-49.5218987469462	-1.47593439071615	0.0329176323992596	0.825229878069012	0.00286851026867124	0.0135090560878865
0.61	8.56118335205716	5.21783295079242	542.161825599658	-49.5052888715626	-1.51722531088589	0.0360993032089686	0.832567998640702	0.00279229004341165	0.0134433942986713
0.62	8.60685409635484	5.20908175845488	542.326005365167	-49.4652087959561	-1.55858524491736	0.0416268468941706	0.841766352290414	0.00271567257573268	0.0133457423936361
0.63	8.64989278954039	5.1940417049473	542.415519332875	-49.4021742997686	-1.59945836233215	0.0493319865429611	0.852612276225939	0.00263961288475307	0.0132182358251313
0.64	8.68982799363747	5.17376999116514	542.427162615746	-49.317638130632	-1.63934258621276	0.0589721573399912	0.864842518295208	0.00256498535086787	0.013064065231467
0.65	8.72630804537157	5.14955321128622	542.361817260915	-49.2139158934759	-1.67780352709357	0.0702400336864031	0.878150807373212	0.0024925619426144	0.0128873292431254
0.66	8.75908824768355	5.12283383623086	542.224310682497	-49.0940724345076	-1.71448556130338	0.0827752417863579	0.892196786758435	0.0024229939391894	0.0126928510819902
0.67	8.7880175286528	5.09512771011511	542.023073871903	-48.9617758442291	-1.74911943740127	0.0961777571266501	0.906616108600866	0.00235679816044303	0.0124859689359307
0.68	8.81302626277545	5.06793748791896	541.769625654275	-48.8211275684133	-1.78152592537728	0.110022447491359	0.92103143894605	0.00229434868850338	0.0122723109381438
0.69	8.83411639675384	5.04266723765575	541.477917096531	-48.6764779242179	-1.81161520496914	0.12387420872565	0.935064075439928	0.00223587491097522	0.0120575658248937
0.7	8.85135439718207	5.02054336625783	541.163575666103	-48.5322365555073	-1.83938191319106	0.13730314958256	0.948345836790909	0.0021814664284418	0.0118472599954445
0.71	8.86486691335604	5.00254660907022	540.84309175619	-48.3926870504967	-1.8648960232732	0.149899309798301	0.960530848338951	0.00213108496219871	0.0116465507960671
