@RELATION AgeGroup
@ATTRIBUTE class {young,old}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@ATTRIBUTE x53 NUMERIC
@ATTRIBUTE x54 NUMERIC
@ATTRIBUTE x55 NUMERIC
@ATTRIBUTE x56 NUMERIC
@ATTRIBUTE x57 NUMERIC
@ATTRIBUTE x58 NUMERIC
@ATTRIBUTE x59 NUMERIC
@ATTRIBUTE x60 NUMERIC
@ATTRIBUTE x61 NUMERIC
@ATTRIBUTE x62 NUMERIC
@ATTRIBUTE x63 NUMERIC
@ATTRIBUTE x64 NUMERIC
@ATTRIBUTE x65 NUMERIC
@ATTRIBUTE x66 NUMERIC
@ATTRIBUTE x67 NUMERIC
@ATTRIBUTE x68 NUMERIC
@ATTRIBUTE x69 NUMERIC
@ATTRIBUTE x70 NUMERIC
@ATTRIBUTE x71 NUMERIC
@ATTRIBUTE x72 NUMERIC
@ATTRIBUTE x73 NUMERIC
@ATTRIBUTE x74 NUMERIC
@ATTRIBUTE x75 NUMERIC
@ATTRIBUTE x76 NUMERIC
@ATTRIBUTE x77 NUMERIC
@ATTRIBUTE x78 NUMERIC
@ATTRIBUTE x79 NUMERIC
@ATTRIBUTE x80 NUMERIC
@ATTRIBUTE x81 NUMERIC
@ATTRIBUTE x82 NUMERIC
@ATTRIBUTE x83 NUMERIC
@ATTRIBUTE x84 NUMERIC
@ATTRIBUTE x85 NUMERIC
@ATTRIBUTE x86 NUMERIC
@ATTRIBUTE x87 NUMERIC
@ATTRIBUTE x88 NUMERIC
@ATTRIBUTE x89 NUMERIC
@ATTRIBUTE x90 NUMERIC
@ATTRIBUTE x91 NUMERIC
@ATTRIBUTE x92 NUMERIC
@ATTRIBUTE x93 NUMERIC
@ATTRIBUTE x94 NUMERIC
@ATTRIBUTE x95 NUMERIC
@ATTRIBUTE x96 NUMERIC
@ATTRIBUTE x97 NUMERIC
@ATTRIBUTE x98 NUMERIC
@ATTRIBUTE x99 NUMERIC
@ATTRIBUTE x100 NUMERIC
@ATTRIBUTE x101 NUMERIC
@ATTRIBUTE x102 NUMERIC
@ATTRIBUTE x103 NUMERIC
@ATTRIBUTE x104 NUMERIC
@DATA
young,0.000000,0.375652,0.304991,0.153819,0.078279,0.045940,0.017492,0.010097,0.006620,0.003443,0.003667,1.525254,0.722849,0.000000,0.345097,0.309405,0.170307,0.088962,0.043278,0.022463,0.010929,0.005732,0.002123,0.001703,1.534801,0.632260,0.000000,0.190729,0.300645,0.226224,0.126044,0.080472,0.039884,0.021298,0.007858,0.004558,0.002288,7.533354,1.637299,0.000000,0.303620,0.324814,0.194297,0.097508,0.040316,0.021220,0.008967,0.005681,0.001976,0.001600,14.252598,2.106238,0.000000,0.240920,0.297006,0.188572,0.122796,0.058299,0.040955,0.023792,0.014827,0.008235,0.004598,1.989964,0.777702,0.000000,0.216401,0.288207,0.215579,0.139206,0.067845,0.040567,0.017886,0.008233,0.003870,0.002206,1.658048,0.669141,0.000000,0.123131,0.245038,0.231327,0.150489,0.109503,0.059526,0.039036,0.026637,0.009979,0.005332,9.711054,2.065930,0.000000,0.197446,0.330427,0.195672,0.129129,0.072359,0.038459,0.015590,0.008202,0.003004,0.009711,18.398800,2.559884
young,0.000000,0.114473,0.242137,0.231879,0.174294,0.109112,0.061998,0.037137,0.014992,0.009966,0.004012,1.423944,0.336729,0.000000,0.252405,0.364132,0.225029,0.097635,0.030222,0.015802,0.005263,0.003780,0.001953,0.003780,1.591919,0.575138,0.000000,0.207710,0.303232,0.222764,0.130892,0.066541,0.037487,0.017065,0.007088,0.004719,0.002502,15.485236,1.578799,0.000000,0.199163,0.316724,0.207157,0.130692,0.066221,0.036521,0.021332,0.012683,0.004640,0.004868,17.346608,2.014324,0.000000,0.097037,0.221648,0.232307,0.175791,0.113570,0.076799,0.038951,0.026108,0.010129,0.007660,2.209297,0.555738,0.000284,0.179956,0.351492,0.213953,0.137941,0.063314,0.027697,0.012736,0.004106,0.004382,0.004139,2.530540,0.878345,0.000000,0.141800,0.266284,0.213455,0.142011,0.096919,0.055749,0.040292,0.024133,0.012168,0.007189,24.352009,2.321210,0.000520,0.135232,0.297660,0.238562,0.160373,0.086144,0.036571,0.024019,0.010704,0.005684,0.004530,26.824136,3.052627
young,0.000236,0.160132,0.275901,0.220491,0.133236,0.087007,0.057297,0.039876,0.014921,0.005210,0.005692,3.402584,0.835880,0.000000,0.163831,0.283344,0.231797,0.128332,0.085498,0.047073,0.032835,0.017068,0.006685,0.003537,3.948664,0.920312,0.000000,0.105505,0.225176,0.227725,0.194102,0.114406,0.071680,0.031847,0.014515,0.011472,0.003572,15.199311,2.023381,0.000000,0.184543,0.266565,0.212000,0.158804,0.089604,0.045641,0.024557,0.011511,0.004764,0.002011,33.803713,2.944565,0.000000,0.121766,0.239728,0.232913,0.166304,0.101081,0.063537,0.042433,0.018682,0.008754,0.004803,5.529832,1.204304,0.000285,0.134658,0.259627,0.237944,0.148090,0.095887,0.063240,0.035687,0.015855,0.005184,0.003541,5.241487,1.346816,0.000000,0.076880,0.183646,0.223588,0.197410,0.149712,0.086546,0.044585,0.023591,0.007900,0.006144,21.176407,2.902717,0.000000,0.106905,0.221465,0.214873,0.185235,0.131440,0.069390,0.038813,0.017490,0.010646,0.003742,44.881614,3.708255
old,0.000000,0.144374,0.269628,0.240070,0.129460,0.094611,0.058947,0.040334,0.009521,0.006973,0.006083,6.168391,0.988604,0.000000,0.176696,0.295048,0.206809,0.153518,0.087715,0.037091,0.022721,0.012049,0.004579,0.003773,5.439450,1.042428,0.000000,0.146740,0.267973,0.260300,0.159174,0.082128,0.042853,0.019761,0.014836,0.003069,0.003163,84.862583,2.907731,0.000000,0.177638,0.303908,0.230389,0.153114,0.073633,0.032763,0.015957,0.005315,0.004276,0.003007,44.569569,3.538469,0.000000,0.140039,0.275649,0.214053,0.143836,0.095015,0.085911,0.029706,0.008441,0.003724,0.003627,10.399797,1.811036,0.000000,0.093423,0.171863,0.133528,0.110589,0.077386,0.042046,0.084036,0.183806,0.035944,0.067379,8.863922,1.614258,0.000000,0.088846,0.231758,0.273832,0.201158,0.104938,0.050089,0.026942,0.011554,0.006064,0.004817,98.192952,4.381741,0.000000,0.133589,0.271137,0.250496,0.180477,0.089877,0.041400,0.015348,0.009170,0.005390,0.003116,61.257207,5.597663
young,0.000000,0.191940,0.298747,0.225800,0.130872,0.074765,0.041186,0.021425,0.006948,0.004856,0.003459,9.350596,0.725845,0.000000,0.207014,0.339361,0.216862,0.130883,0.056943,0.029378,0.011184,0.004503,0.001876,0.001996,7.323946,0.801545,0.000132,0.142490,0.246950,0.234409,0.163316,0.102063,0.046752,0.032484,0.017881,0.007940,0.005583,19.949836,1.387931,0.000321,0.144268,0.255980,0.229085,0.161586,0.093074,0.049186,0.021705,0.017266,0.010146,0.017382,89.385716,1.824365,0.000000,0.142811,0.268082,0.220261,0.156590,0.106514,0.053928,0.027886,0.014498,0.006402,0.003028,13.456486,0.988612,0.000000,0.136017,0.280699,0.229595,0.166664,0.097926,0.054739,0.020019,0.007511,0.002493,0.004337,11.010991,1.071630,0.000000,0.105498,0.237517,0.249228,0.182710,0.113643,0.055297,0.028957,0.014767,0.007705,0.004677,26.718459,2.207355,0.000304,0.100972,0.206224,0.230973,0.177865,0.135759,0.078232,0.035709,0.019824,0.009598,0.004539,95.432856,2.594009
young,0.000000,0.212822,0.285939,0.198987,0.125339,0.087072,0.045588,0.022887,0.011371,0.006806,0.003188,81.874075,0.523393,0.000000,0.207855,0.317460,0.203174,0.113709,0.067190,0.037587,0.018416,0.008757,0.002622,0.023228,16.952367,0.751679,0.000000,0.160004,0.329489,0.249596,0.146353,0.062874,0.030182,0.012685,0.005027,0.000892,0.002896,86.836713,2.490050,0.000282,0.167939,0.332350,0.232332,0.143666,0.066061,0.036928,0.009863,0.006473,0.001786,0.002318,124.423963,2.975771,0.000000,0.054858,0.115584,0.153637,0.120797,0.081683,0.059098,0.098663,0.057656,0.130785,0.127240,85.923815,0.687654,0.000000,0.170895,0.269444,0.192035,0.102769,0.070127,0.030279,0.027548,0.048839,0.044413,0.043651,22.616774,1.035599,0.000000,0.149781,0.298713,0.246492,0.175152,0.077209,0.034795,0.010726,0.002262,0.001573,0.003296,96.786667,3.761826,0.000000,0.111499,0.232512,0.262372,0.171510,0.105855,0.057361,0.033484,0.016333,0.005221,0.003853,136.517785,3.511207
young,0.000000,0.175121,0.336470,0.236271,0.132054,0.062817,0.033310,0.013378,0.004848,0.004002,0.001728,82.394851,0.587006,0.000000,0.199247,0.314576,0.205931,0.124838,0.077253,0.034665,0.019948,0.012750,0.006612,0.004178,20.496879,0.656758,0.000000,0.235633,0.299126,0.206038,0.127294,0.070965,0.027959,0.017097,0.009656,0.003565,0.002669,108.553672,2.578919,0.000000,0.157091,0.289286,0.233573,0.155378,0.085449,0.036906,0.022077,0.009864,0.007165,0.003211,164.288155,2.876861,0.000000,0.132473,0.262620,0.233053,0.161152,0.098973,0.046518,0.023719,0.013037,0.016822,0.011631,92.371332,0.773618,0.000000,0.201914,0.292040,0.206967,0.128917,0.079401,0.039583,0.026313,0.013001,0.007866,0.003997,26.917322,1.012346,0.000000,0.177473,0.244729,0.193526,0.154979,0.097799,0.051239,0.036760,0.019821,0.014917,0.008758,110.877368,3.529439,0.000000,0.113559,0.274590,0.247925,0.153290,0.098876,0.061354,0.029224,0.011374,0.006537,0.003269,163.926286,4.278970
young,0.000193,0.221149,0.320072,0.206795,0.129208,0.057155,0.030092,0.019485,0.009285,0.003511,0.003055,25.909949,0.743799,0.000000,0.209936,0.307216,0.203822,0.117167,0.073479,0.033916,0.023737,0.015223,0.007946,0.007558,17.809727,0.913157,0.000280,0.160785,0.293138,0.226775,0.150200,0.086681,0.044517,0.021642,0.009478,0.004784,0.001720,96.805356,1.802894,0.000000,0.128163,0.267543,0.247454,0.167700,0.101150,0.049330,0.021154,0.009989,0.003829,0.003687,35.598369,2.129165,0.000000,0.163966,0.253897,0.224587,0.156919,0.096194,0.051113,0.026379,0.017918,0.006392,0.002635,31.528299,0.913814,0.000368,0.165152,0.270815,0.219868,0.157660,0.088081,0.049773,0.019684,0.013038,0.006371,0.009191,23.453802,1.172748,0.000000,0.103744,0.206246,0.234046,0.172149,0.133004,0.073869,0.039606,0.019677,0.013531,0.004128,106.242334,2.347437,0.000000,0.090672,0.213539,0.229804,0.205661,0.122885,0.075205,0.035740,0.013718,0.008328,0.004447,50.787409,2.956048
young,0.000000,0.219107,0.326922,0.230482,0.118530,0.053380,0.023837,0.011378,0.008633,0.005613,0.002116,81.549418,0.484737,0.000242,0.209254,0.326518,0.219300,0.110310,0.069480,0.033304,0.014207,0.008757,0.004750,0.003877,7.844335,0.603634,0.000287,0.118320,0.228605,0.232397,0.157282,0.103595,0.068969,0.043681,0.020848,0.018958,0.007058,54.730720,1.304590,0.000000,0.190629,0.295424,0.232599,0.141678,0.075231,0.035193,0.009380,0.008593,0.006851,0.004422,102.241136,1.810284,0.000000,0.193353,0.303306,0.235401,0.129847,0.059247,0.040515,0.015189,0.010271,0.006726,0.006145,90.906966,0.756237,0.000000,0.171508,0.301841,0.227709,0.126493,0.079340,0.046046,0.018864,0.012476,0.010206,0.005517,10.484414,0.913037,0.000000,0.091737,0.220958,0.242339,0.174471,0.113343,0.065480,0.047570,0.022643,0.013405,0.008053,76.068111,2.210940,0.000000,0.115241,0.245412,0.228520,0.179607,0.105969,0.059738,0.027953,0.014223,0.012593,0.010745,103.910561,2.538545
young,0.000000,0.181160,0.301250,0.228743,0.134697,0.074386,0.039239,0.022927,0.010980,0.003320,0.003298,22.014002,0.412691,0.000304,0.126501,0.274648,0.246936,0.157271,0.100661,0.054147,0.021814,0.011197,0.003792,0.002729,5.600216,0.326094,0.000000,0.169488,0.304403,0.238550,0.133124,0.071023,0.037406,0.023370,0.012519,0.006102,0.004014,165.948965,1.189433,0.000000,0.227309,0.291814,0.213464,0.135760,0.065106,0.031962,0.019603,0.010454,0.002527,0.002001,155.896627,1.895023,0.000294,0.141003,0.271237,0.253592,0.142877,0.084465,0.050057,0.033400,0.013202,0.005621,0.004252,33.138385,0.575976,0.000000,0.109802,0.265841,0.245975,0.153090,0.110068,0.069003,0.026274,0.009804,0.006484,0.003659,7.982156,0.502862,0.000000,0.123601,0.267838,0.241304,0.152220,0.098935,0.061106,0.021974,0.017537,0.010560,0.004926,169.627378,1.786911,0.000000,0.154152,0.241034,0.228098,0.160839,0.100523,0.052709,0.035134,0.012815,0.010799,0.003896,158.136525,2.704222
