@RELATION BEST
@ATTRIBUTE class {low_fall_risk,high_fall_risk}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@ATTRIBUTE x53 NUMERIC
@ATTRIBUTE x54 NUMERIC
@ATTRIBUTE x55 NUMERIC
@ATTRIBUTE x56 NUMERIC
@ATTRIBUTE x57 NUMERIC
@ATTRIBUTE x58 NUMERIC
@ATTRIBUTE x59 NUMERIC
@ATTRIBUTE x60 NUMERIC
@ATTRIBUTE x61 NUMERIC
@ATTRIBUTE x62 NUMERIC
@ATTRIBUTE x63 NUMERIC
@ATTRIBUTE x64 NUMERIC
@ATTRIBUTE x65 NUMERIC
@ATTRIBUTE x66 NUMERIC
@ATTRIBUTE x67 NUMERIC
@ATTRIBUTE x68 NUMERIC
@ATTRIBUTE x69 NUMERIC
@ATTRIBUTE x70 NUMERIC
@ATTRIBUTE x71 NUMERIC
@ATTRIBUTE x72 NUMERIC
@ATTRIBUTE x73 NUMERIC
@ATTRIBUTE x74 NUMERIC
@ATTRIBUTE x75 NUMERIC
@ATTRIBUTE x76 NUMERIC
@ATTRIBUTE x77 NUMERIC
@ATTRIBUTE x78 NUMERIC
@ATTRIBUTE x79 NUMERIC
@ATTRIBUTE x80 NUMERIC
@ATTRIBUTE x81 NUMERIC
@ATTRIBUTE x82 NUMERIC
@ATTRIBUTE x83 NUMERIC
@ATTRIBUTE x84 NUMERIC
@ATTRIBUTE x85 NUMERIC
@ATTRIBUTE x86 NUMERIC
@ATTRIBUTE x87 NUMERIC
@ATTRIBUTE x88 NUMERIC
@ATTRIBUTE x89 NUMERIC
@ATTRIBUTE x90 NUMERIC
@ATTRIBUTE x91 NUMERIC
@ATTRIBUTE x92 NUMERIC
@ATTRIBUTE x93 NUMERIC
@ATTRIBUTE x94 NUMERIC
@ATTRIBUTE x95 NUMERIC
@ATTRIBUTE x96 NUMERIC
@ATTRIBUTE x97 NUMERIC
@ATTRIBUTE x98 NUMERIC
@ATTRIBUTE x99 NUMERIC
@ATTRIBUTE x100 NUMERIC
@ATTRIBUTE x101 NUMERIC
@ATTRIBUTE x102 NUMERIC
@ATTRIBUTE x103 NUMERIC
@ATTRIBUTE x104 NUMERIC
@DATA
low_fall_risk,0.000000,0.400179,0.331841,0.147226,0.067452,0.029136,0.012042,0.005231,0.004049,0.001852,0.000990,0.427745,0.204348,0.000000,0.348755,0.327344,0.157561,0.078467,0.048313,0.022625,0.008388,0.005305,0.002524,0.000717,0.402133,0.184860,0.000000,0.262118,0.333767,0.200003,0.112115,0.049561,0.022541,0.011106,0.004753,0.001227,0.002809,2.454675,0.474899,0.000348,0.355888,0.336119,0.168952,0.071191,0.031374,0.014984,0.011651,0.004057,0.003652,0.001785,4.364266,0.579924,0.000000,0.375652,0.304991,0.153819,0.078279,0.045940,0.017492,0.010097,0.006620,0.003443,0.003667,1.525254,0.722849,0.000000,0.345097,0.309405,0.170307,0.088962,0.043278,0.022463,0.010929,0.005732,0.002123,0.001703,1.534801,0.632260,0.000000,0.190729,0.300645,0.226224,0.126044,0.080472,0.039884,0.021298,0.007858,0.004558,0.002288,7.533354,1.637299,0.000000,0.303620,0.324814,0.194297,0.097508,0.040316,0.021220,0.008967,0.005681,0.001976,0.001600,14.252598,2.106238
low_fall_risk,0.000000,0.120968,0.261840,0.254902,0.161084,0.102360,0.055504,0.021621,0.015972,0.003096,0.002652,0.467253,0.094900,0.000000,0.251630,0.387756,0.215985,0.091651,0.032463,0.010483,0.004262,0.002900,0.001671,0.001199,0.503915,0.151685,0.000000,0.271636,0.340513,0.206141,0.095075,0.048098,0.022088,0.008919,0.005125,0.001331,0.001075,4.308302,0.429953,0.000217,0.261697,0.322597,0.198606,0.100557,0.053012,0.030732,0.015051,0.010324,0.004342,0.002866,4.617579,0.510426,0.000000,0.114473,0.242137,0.231879,0.174294,0.109112,0.061998,0.037137,0.014992,0.009966,0.004012,1.423944,0.336729,0.000000,0.252405,0.364132,0.225029,0.097635,0.030222,0.015802,0.005263,0.003780,0.001953,0.003780,1.591919,0.575138,0.000000,0.207710,0.303232,0.222764,0.130892,0.066541,0.037487,0.017065,0.007088,0.004719,0.002502,15.485236,1.578799,0.000000,0.199163,0.316724,0.207157,0.130692,0.066221,0.036521,0.021332,0.012683,0.004640,0.004868,17.346608,2.014324
low_fall_risk,0.000000,0.224438,0.321204,0.207616,0.124812,0.061401,0.038016,0.011091,0.006188,0.003561,0.001673,0.863010,0.238169,0.000000,0.222905,0.331588,0.206058,0.123129,0.057363,0.033428,0.012285,0.009587,0.002091,0.001567,1.032733,0.259806,0.000000,0.205970,0.339004,0.227422,0.123542,0.057499,0.023614,0.012610,0.006495,0.003043,0.000799,4.406919,0.678910,0.000000,0.309683,0.305506,0.204628,0.099205,0.040886,0.022550,0.008492,0.004112,0.003206,0.001731,11.298307,0.963758,0.000236,0.160132,0.275901,0.220491,0.133236,0.087007,0.057297,0.039876,0.014921,0.005210,0.005692,3.402584,0.835880,0.000000,0.163831,0.283344,0.231797,0.128332,0.085498,0.047073,0.032835,0.017068,0.006685,0.003537,3.948664,0.920312,0.000000,0.105505,0.225176,0.227725,0.194102,0.114406,0.071680,0.031847,0.014515,0.011472,0.003572,15.199311,2.023381,0.000000,0.184543,0.266565,0.212000,0.158804,0.089604,0.045641,0.024557,0.011511,0.004764,0.002011,33.803713,2.944565
low_fall_risk,0.000000,0.181663,0.333260,0.219726,0.124653,0.060780,0.041719,0.021204,0.010226,0.004811,0.001958,1.390210,0.247835,0.000000,0.234455,0.315566,0.206204,0.126328,0.059771,0.027672,0.013805,0.007328,0.006606,0.002265,1.206352,0.263141,0.000000,0.225663,0.342992,0.212230,0.120480,0.051210,0.026592,0.013251,0.002493,0.003418,0.001671,38.956560,0.780954,0.000000,0.236342,0.323009,0.220516,0.117553,0.055881,0.023021,0.012004,0.005087,0.003785,0.002803,13.310353,0.897357,0.000000,0.144374,0.269628,0.240070,0.129460,0.094611,0.058947,0.040334,0.009521,0.006973,0.006083,6.168391,0.988604,0.000000,0.176696,0.295048,0.206809,0.153518,0.087715,0.037091,0.022721,0.012049,0.004579,0.003773,5.439450,1.042428,0.000000,0.146740,0.267973,0.260300,0.159174,0.082128,0.042853,0.019761,0.014836,0.003069,0.003163,84.862583,2.907731,0.000000,0.177638,0.303908,0.230389,0.153114,0.073633,0.032763,0.015957,0.005315,0.004276,0.003007,44.569569,3.538469
low_fall_risk,0.000000,0.259160,0.358752,0.198900,0.091776,0.049416,0.020615,0.011502,0.005177,0.002343,0.002358,2.539153,0.208430,0.000000,0.299857,0.369859,0.191239,0.078215,0.033310,0.014984,0.006507,0.002487,0.001534,0.002007,1.900002,0.232481,0.000000,0.241140,0.321506,0.209565,0.109829,0.062726,0.030091,0.015705,0.005895,0.002224,0.001317,5.591244,0.404436,0.000000,0.248684,0.338579,0.212431,0.107301,0.054438,0.024147,0.009598,0.001996,0.001553,0.001273,42.366543,0.547716,0.000000,0.191940,0.298747,0.225800,0.130872,0.074765,0.041186,0.021425,0.006948,0.004856,0.003459,9.350596,0.725845,0.000000,0.207014,0.339361,0.216862,0.130883,0.056943,0.029378,0.011184,0.004503,0.001876,0.001996,7.323946,0.801545,0.000132,0.142490,0.246950,0.234409,0.163316,0.102063,0.046752,0.032484,0.017881,0.007940,0.005583,19.949836,1.387931,0.000321,0.144268,0.255980,0.229085,0.161586,0.093074,0.049186,0.021705,0.017266,0.010146,0.017382,89.385716,1.824365
low_fall_risk,0.000000,0.305619,0.348535,0.186311,0.089223,0.039129,0.018675,0.007225,0.003037,0.000957,0.001290,60.813386,0.180887,0.000284,0.284354,0.346438,0.183295,0.100403,0.047446,0.021354,0.009673,0.002528,0.002318,0.001907,4.906429,0.224029,0.000284,0.203950,0.336804,0.229103,0.122991,0.061965,0.022514,0.011701,0.005161,0.004104,0.001424,62.725231,0.663200,0.007744,0.111252,0.227377,0.198705,0.181834,0.136291,0.082967,0.017819,0.006376,0.018802,0.010833,109.850078,0.759389,0.000000,0.212822,0.285939,0.198987,0.125339,0.087072,0.045588,0.022887,0.011371,0.006806,0.003188,81.874075,0.523393,0.000000,0.207855,0.317460,0.203174,0.113709,0.067190,0.037587,0.018416,0.008757,0.002622,0.023228,16.952367,0.751679,0.000000,0.160004,0.329489,0.249596,0.146353,0.062874,0.030182,0.012685,0.005027,0.000892,0.002896,86.836713,2.490050,0.000282,0.167939,0.332350,0.232332,0.143666,0.066061,0.036928,0.009863,0.006473,0.001786,0.002318,124.423963,2.975771
low_fall_risk,0.000000,0.251523,0.372924,0.210007,0.094961,0.038756,0.013782,0.007811,0.005491,0.001666,0.003079,56.864323,0.180850,0.000000,0.281552,0.350872,0.204861,0.083225,0.037972,0.020135,0.011832,0.004906,0.002906,0.001739,6.963398,0.204811,0.000000,0.323814,0.340932,0.181180,0.085018,0.037388,0.018303,0.007048,0.003489,0.001349,0.001478,47.087136,0.751803,0.000000,0.268553,0.337783,0.213202,0.098285,0.046197,0.016052,0.010829,0.003640,0.003147,0.002312,92.614294,0.918619,0.000000,0.175121,0.336470,0.236271,0.132054,0.062817,0.033310,0.013378,0.004848,0.004002,0.001728,82.394851,0.587006,0.000000,0.199247,0.314576,0.205931,0.124838,0.077253,0.034665,0.019948,0.012750,0.006612,0.004178,20.496879,0.656758,0.000000,0.235633,0.299126,0.206038,0.127294,0.070965,0.027959,0.017097,0.009656,0.003565,0.002669,108.553672,2.578919,0.000000,0.157091,0.289286,0.233573,0.155378,0.085449,0.036906,0.022077,0.009864,0.007165,0.003211,164.288155,2.876861
low_fall_risk,0.000258,0.258007,0.360298,0.201750,0.091489,0.042410,0.024126,0.011579,0.005029,0.002966,0.002087,8.010483,0.210276,0.000277,0.283663,0.351899,0.172359,0.096913,0.044149,0.025825,0.012370,0.006445,0.005107,0.000992,5.018934,0.262417,0.000000,0.201112,0.348433,0.211713,0.127113,0.059105,0.028444,0.013143,0.006480,0.002556,0.001900,67.327585,0.484261,0.000000,0.184774,0.330525,0.239705,0.125739,0.065756,0.027657,0.013583,0.008446,0.001906,0.001909,12.306171,0.582126,0.000193,0.221149,0.320072,0.206795,0.129208,0.057155,0.030092,0.019485,0.009285,0.003511,0.003055,25.909949,0.743799,0.000000,0.209936,0.307216,0.203822,0.117167,0.073479,0.033916,0.023737,0.015223,0.007946,0.007558,17.809727,0.913157,0.000280,0.160785,0.293138,0.226775,0.150200,0.086681,0.044517,0.021642,0.009478,0.004784,0.001720,96.805356,1.802894,0.000000,0.128163,0.267543,0.247454,0.167700,0.101150,0.049330,0.021154,0.009989,0.003829,0.003687,35.598369,2.129165
low_fall_risk,0.000000,0.285589,0.383828,0.194891,0.077581,0.030699,0.014506,0.007139,0.002921,0.001233,0.001613,64.902545,0.151394,0.000000,0.240272,0.335812,0.212837,0.113514,0.048288,0.028044,0.010833,0.005834,0.002328,0.002239,2.341711,0.154357,0.000341,0.190811,0.290500,0.228662,0.133529,0.077868,0.040248,0.022290,0.010141,0.004343,0.001267,13.776794,0.363168,0.000000,0.236804,0.319430,0.213002,0.121808,0.059359,0.025071,0.013563,0.005886,0.002833,0.002244,39.554537,0.448696,0.000000,0.219107,0.326922,0.230482,0.118530,0.053380,0.023837,0.011378,0.008633,0.005613,0.002116,81.549418,0.484737,0.000242,0.209254,0.326518,0.219300,0.110310,0.069480,0.033304,0.014207,0.008757,0.004750,0.003877,7.844335,0.603634,0.000287,0.118320,0.228605,0.232397,0.157282,0.103595,0.068969,0.043681,0.020848,0.018958,0.007058,54.730720,1.304590,0.000000,0.190629,0.295424,0.232599,0.141678,0.075231,0.035193,0.009380,0.008593,0.006851,0.004422,102.241136,1.810284
low_fall_risk,0.000000,0.157938,0.300008,0.258266,0.144487,0.073049,0.033888,0.018799,0.007201,0.004396,0.001967,5.827148,0.102579,0.000000,0.125905,0.262203,0.256752,0.170914,0.100802,0.044997,0.023630,0.009095,0.003435,0.002266,1.429687,0.085476,0.000000,0.245832,0.331713,0.218940,0.112492,0.049520,0.020544,0.010078,0.005959,0.001723,0.003200,122.779266,0.326636,0.000000,0.293191,0.325393,0.188267,0.108950,0.046536,0.019942,0.010923,0.004114,0.000541,0.002142,104.242732,0.506618,0.000000,0.181160,0.301250,0.228743,0.134697,0.074386,0.039239,0.022927,0.010980,0.003320,0.003298,22.014002,0.412691,0.000304,0.126501,0.274648,0.246936,0.157271,0.100661,0.054147,0.021814,0.011197,0.003792,0.002729,5.600216,0.326094,0.000000,0.169488,0.304403,0.238550,0.133124,0.071023,0.037406,0.023370,0.012519,0.006102,0.004014,165.948965,1.189433,0.000000,0.227309,0.291814,0.213464,0.135760,0.065106,0.031962,0.019603,0.010454,0.002527,0.002001,155.896627,1.895023
