[Mourad\145\Firm\Closed\BDS01738.txt]
1200 samples
60 Markov chains

(1,4)(1,3)(1,5)(1,8)(1,9)(1,9)(1,8)(3,8)(3,7)(1,5)(1,2)(1,1)(1,2)(2,6)(4,8)(3,10)(1,10)(1,9)(1,5)(1,3)(1,1)
(1,1)(1,2)(1,3)(1,5)(1,6)(1,6)(1,4)(1,3)(1,2)(1,3)(1,4)(1,4)(1,3)(1,3)(1,4)(1,4)(1,4)(1,3)(1,2)(1,3)(1,2)
(1,2)(1,2)(1,2)(1,1)(1,1)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,3)
(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,2)(1,3)(1,3)(1,2)(1,3)
(1,3)(1,5)(1,6)(1,7)(1,7)(1,4)(1,2)(1,3)(1,5)(1,5)(1,5)(1,5)(1,6)(1,6)(1,5)(1,5)(1,5)(1,4)(1,4)(2,5)(1,4)
(1,4)(1,5)(1,6)(1,7)(1,8)(1,7)(1,6)(1,6)(1,7)(1,7)(1,7)(1,6)(1,5)(1,3)(1,5)(1,5)(1,4)(1,2)(1,2)(1,3)(1,4)
(1,4)(1,5)(1,5)(1,5)(1,3)(1,2)(1,3)(1,2)(1,3)(1,4)(1,5)(1,4)(1,3)(1,4)(1,4)(1,3)(1,1)(1,2)(1,2)(1,3)(1,5)
(1,5)(1,6)(1,6)(1,5)(1,2)(1,1)(1,2)(1,2)(1,3)(1,4)(1,4)(1,4)(1,4)(1,4)(1,4)(1,4)(1,4)(2,3)(1,2)(1,3)(1,6)
(1,6)(1,8)(1,7)(1,6)(1,4)(1,3)(1,2)(1,2)(1,2)(1,3)(1,5)(1,5)(1,3)(1,2)(1,2)(1,3)(1,2)(1,2)(1,1)(1,3)(1,4)
(1,4)(1,4)(1,4)(1,4)(1,2)(1,1)(1,2)(1,3)(1,3)(1,3)(1,3)(1,5)(1,5)(1,3)(1,2)(1,1)(1,3)(1,6)(1,6)(1,6)(1,6)
(1,6)(1,5)(1,4)(1,3)(1,2)(1,2)(1,3)(1,4)(1,5)(1,7)(1,8)(1,9)(1,6)(2,4)(2,2)(1,3)(1,6)(1,7)(1,9)(1,9)(1,7)
(1,7)(1,5)(1,3)(1,2)(1,2)(1,4)(1,5)(1,7)(1,8)(1,8)(1,8)(1,5)(1,2)(1,2)(1,6)(1,9)(1,9)(1,7)(1,4)(1,3)(1,2)
(1,2)(1,4)(1,5)(1,3)(1,4)(1,5)(1,5)(1,4)(1,5)(1,6)(10,6)(1,4)(1,2)(5,7)(3,10)(1,10)(1,8)(1,5)(1,4)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,4)(1,4)(1,5)(1,6)(1,6)(1,6)(1,6)(10,5)(1,4)(1,3)(1,2)(1,6)(10,9)(1,9)(1,8)(1,6)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,3)(1,1)(1,1)(1,1)(1,1)(1,3)(1,2)(1,1)(1,2)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)
(1,2)(1,2)(1,3)(2,3)(1,1)(1,2)(1,4)(1,3)(1,2)(1,1)(1,2)(1,1)(1,3)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,2)(1,1)(1,1)(1,1)(1,2)
(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,3)(1,2)(1,2)(1,3)(1,3)(1,1)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,2)(1,3)
(1,3)(1,3)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,5)(2,5)(2,3)(1,2)(1,2)(3,3)(3,5)
(3,5)(1,5)(1,4)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)
(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,3)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,3)(1,4)(1,5)(1,5)(4,3)(2,1)(1,1)(1,2)(1,2)(1,2)
(1,2)(1,1)(2,3)(2,3)(1,3)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)(1,2)(1,2)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,3)(1,2)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,2)(1,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(2,4)(2,4)(1,2)(1,2)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(3,4)(6,4)(2,3)
(2,3)(1,1)(1,1)(1,2)(2,3)(4,3)(3,3)(1,3)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(1,2)(1,2)(1,1)
(1,1)(1,2)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,1)(1,2)(1,2)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,2)
(1,2)(1,2)(1,2)(1,3)(1,3)(1,4)(1,4)(1,4)(1,4)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,3)(1,4)(1,4)(1,4)(1,5)(1,4)
(1,4)(1,2)(1,1)(1,1)(1,2)(1,3)(1,4)(1,4)(1,3)(1,4)(1,4)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)
(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,3)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,4)(1,4)(1,4)
(1,4)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,4)(1,3)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)
(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,4)(1,4)(1,4)(1,2)(1,1)(1,3)(1,3)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,2)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)
(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
