[Mourad\155\Foam\Open\BDS01852.txt]
1200 samples
60 Markov chains

(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,4)(2,6)(2,6)(3,6)(3,5)(3,5)(3,4)(3,4)(3,4)(1,1)(1,1)(1,2)(2,3)(2,2)(2,3)
(2,3)(2,3)(1,2)(1,1)(1,1)(1,1)(1,2)(2,3)(2,4)(1,4)(1,6)(1,9)(1,9)(1,6)(1,2)(1,2)(1,1)(1,3)(1,4)(1,4)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,2)(1,2)(1,4)(1,2)(1,1)(1,2)(1,1)(1,2)(1,1)(1,1)(1,2)(1,2)
(1,2)(1,5)(1,4)(1,2)(1,2)(1,1)(1,2)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,4)(1,4)(1,5)(1,7)
(1,7)(1,8)(1,8)(1,5)(1,3)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,2)
(1,2)(1,4)(1,4)(1,2)(1,1)(1,1)(1,1)(1,3)(1,4)(1,4)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,3)(1,2)(1,2)(1,2)(1,3)
(1,3)(1,4)(1,5)(1,5)(1,6)(1,5)(1,3)(1,2)(1,2)(1,1)(1,4)(1,4)(1,3)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,2)(1,3)(1,2)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,2)(1,1)(1,2)(1,1)(1,2)(1,3)(1,4)
(1,4)(1,2)(1,1)(1,2)(1,3)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,3)(1,4)(1,3)(1,1)(1,1)(1,1)(1,1)(1,2)(1,1)(1,1)
(1,1)(1,2)(1,2)(1,3)(1,4)(1,4)(1,3)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,4)(1,3)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)
